date,coop,goeth,fry,ora,monko,gobtc,malgo,opul,vote,tiny
2024-12-01,190777.18987089998,1567258.94,57500.148538315,80173.311112,859.194808797592,3851796.8000000003,1379732.094354,812801.1007506001,139511.0923164,530485.359192
2024-12-02,310128.8517056,1538873.2889999999,43058.328181742,251958.175744,3199.762907887964,2522286.9,1154457.2459200001,967268.6600136001,143480.388597,534224.8144779201
2024-12-03,264331.2763663,2148324.75,9089.7294087556,178444.37804,36006.15909645768,3783162.4999999995,1524870.68148,1683113.7905207998,183790.4055175,329664.50427055004
2024-12-04,243220.219624,641473.995,10805.9851762808,168199.76196,929868.9092529803,1550186.4,1053028.9267199999,1061370.286572,152676.4969713,191413.34333352
2024-12-05,108096.9908956,871935.84,8347.4774011101,121035.45161399999,1059739.1256464666,4024668.0000000005,1628215.3606069998,1406347.6635355002,169885.6391704,289079.07409851
2024-12-06,49895.342754599995,618652.9789999999,7037.748861164499,87961.729349,968857.0059558656,2204922.6,811926.3857799999,833306.6677485,124533.59007,325812.6736892
2024-12-07,78257.087172,399419.67000000004,2221.0818244538,20416.078683000003,2555006.540085252,1216626.0,893255.9639640001,669697.0109148001,76086.020664,125628.51353786999
2024-12-08,52944.29182320001,254582.859,2122.356549048,49408.647148000004,1155346.9736932851,404840.0,685881.616574,484494.11443950003,43700.71151549999,82536.82269504
2024-12-09,342249.01019400003,2175553.7819999997,1111.9131446928,130338.14060699998,1663404.2719329472,4431484.2,1996488.2922359998,1077080.0978048001,244228.93486779998,238985.91875339998
2024-12-10,181804.610552,1082683.392,11250.5782707901,70952.616048,1278522.7806425989,2617357.6,1053364.9904600002,1282265.8284935,152736.0181747,173905.91670842998
2024-12-11,116221.7984686,239983.50900000002,1912.6011203904,73003.0048026,1462289.402248944,563102.1,508112.03625,574774.8000512001,73556.1536262,253246.69388160002
2024-12-12,85168.00426650001,323814.48000000004,4570.710145483499,81206.8608834,944497.7818685824,804144.6,730971.7796690001,809209.8002967,56070.1355312,233360.10425075
2024-12-13,139357.538982,277806.126,4278.709180818,142256.366527,769414.3978467622,692811.9,340843.013532,293115.22167179995,39008.26598900001,271744.08367635997
2024-12-14,38228.369188799996,108365.55,8877.1407406084,72096.788687,1485960.7771637745,385872.0,614210.755302,301254.2201064,27477.468988000004,228982.47997769996
2024-12-15,233716.552045,161665.68,6414.485306775,31065.534628,4120838.76977172,634099.5,231535.90547900004,327717.93224620004,29385.2337574,144254.0974952
2024-12-16,336215.18482080003,271645.51,13033.738754428201,205531.6483896,6467719.01083392,770529.0,391871.046404,442980.30710489996,54903.236260800004,168573.69442224
2024-12-17,59049.404375,378389.76,6583.2393484224,198384.47367299997,2633754.29790967,1438472.0,992943.890735,447269.0601267,77674.403425,136042.05383167998
2024-12-18,123792.73266640001,866417.708,18382.1758866816,170900.69932080002,3409098.7874727477,1369972.8,1458187.8420989998,517323.148888,132482.01621,609484.35481725
2024-12-19,272710.86205440003,818191.0499999999,15115.8024623562,113582.6205695,2353151.5194235533,1972970.3,1228860.8663040001,551138.6322774,197873.24694660003,673213.1667450999
2024-12-20,270344.071159,593028.828,4479.215697936001,67235.9849828,2614656.567050504,3090606.0,1889928.9192000001,660630.4265143999,257664.61915880002,409979.9632677
2024-12-21,140558.2982136,2685341.8200000003,13692.501780167599,59305.09998780001,1494646.405633366,1115969.4,468762.51089999994,291235.2546667,100258.3701839,154522.65405520002
2024-12-22,112635.19250460001,190746.92,16357.949688113002,91568.75437729999,1227083.1525097608,782496.0,611451.904512,131477.30116560002,73006.77380479999,162116.65184439998
2024-12-23,139596.09451919998,2957147.1599999997,19062.8362021926,65956.5766274,1178435.6182018442,854212.2000000001,405622.09772,210020.102775,65913.8557156,232738.9908774
2024-12-24,47787.394749,3162815.916,20022.2989139487,89508.1008003,884111.6321690249,817172.8,239672.746588,163403.8248388,44755.2130311,157755.27974640002
2024-12-25,95205.6388535,57803.048,16204.996739347602,41017.740359999996,1605132.176864007,196368.8,78551.46693799998,287344.55116619996,17091.294534800003,111870.34040520001
2024-12-26,109481.7689654,329215.404,3830.529181167,68553.744336,3667927.5936837,459049.6,605390.7151889999,209843.3513272,64236.3637832,249996.07925039998
2024-12-27,49955.0388186,2035536.6300000001,821.6075274883,49148.535544499995,1370014.630960742,726092.8,620216.29776,155655.25153399998,79816.006496,567094.9640712
2024-12-28,31072.363107499998,1172307.696,26739.830129563,86177.5798506,1151382.462785824,409466.9,110516.85065000001,118192.65524430001,28805.864056199996,116749.64955999999
2024-12-29,136314.573406,68949.7,17989.874429617503,118639.56898400001,1164478.635731336,398818.8,215985.556548,554965.5567178,46349.96154250001,469812.72827320005
2024-12-30,172814.30544376,6320973.119999999,3035.91598749,37383.3997173,1045189.637231484,3828745.2,567480.1224600001,211920.542167,102109.15498780001,184822.452486
2024-12-31,107409.66885215999,1447976.4479999999,4219.5237095424,74420.71823700001,1204548.7253545981,982328.3999999999,1083124.79328,885398.6897558001,97203.57421420001,420203.1025392
