date,coop,goeth,fry,ora,monko,gobtc,malgo,opul,vote,tiny
2024-12-01,0.12743,7501.0,0.00049493,0.80618,5.3923e-08,196120.0,1.1498,0.21554,0.12663,0.10152
2024-12-02,0.12724,7173.9,0.00040639,1.1264,5.5231e-08,188090.0,1.1594,0.23044,0.12579,0.089704
2024-12-03,0.12623,7101.9,0.00037598,1.1087,1.2207e-07,187750.0,1.158,0.25498,0.12505,0.087817
2024-12-04,0.1244,8139.5,0.00032114,1.0909,6.6474e-07,208920.0,1.152,0.28092,0.12669,0.087864
2024-12-05,0.12556,8498.4,0.00032167,1.1338,1.2289e-06,216380.0,1.1539,0.28385,0.12776,0.087177
2024-12-06,0.12322,7991.9,0.00031223,1.1089,2.2513e-06,199180.0,1.1398,0.24981,0.12575,0.088936
2024-12-07,0.1188,7878.1,0.00031493,1.0843,4.4319e-06,196230.0,1.1388,0.22803,0.1252,0.088443
2024-12-08,0.11944,8089.7,0.0003112,1.0436,3.2487e-06,202420.0,1.1473,0.25905,0.12585,0.088168
2024-12-09,0.12194,8883.8,0.00031098,1.0449,2.3486e-06,231530.0,1.1398,0.29038,0.12946,0.08853
2024-12-10,0.12206,8601.6,0.00037489,1.0204,3.9313e-06,228790.0,1.1402,0.23635,0.12923,0.088047
2024-12-11,0.11957,8453.1,0.00037707,0.91687,5.2918e-06,222570.0,1.1375,0.23663,0.12786,0.08784
2024-12-12,0.12333,9134.4,0.00036605,0.93927,5.0066e-06,235130.0,1.1443,0.24981,0.12929,0.086435
2024-12-13,0.12279,8993.4,0.00034345,1.1341,5.8202e-06,233270.0,1.1403,0.23479,0.12887,0.092054
2024-12-14,0.12412,9222.6,0.00032279,1.0703,6.1095e-06,241170.0,1.1457,0.23496,0.1297,0.09627
2024-12-15,0.1135,9196.0,0.00032347,1.0498,1.1295e-05,242950.0,1.1423,0.22978,0.12937,0.09476
2024-12-16,0.10526,9667.1,0.00033314,0.93284,1.6635e-05,254300.0,1.1566,0.22013,0.13036,0.091764
2024-12-17,0.10427,9408.0,0.00032496,1.0449,1.4879e-05,256870.0,1.1489,0.22851,0.1303,0.091648
2024-12-18,0.10696,9859.1,0.00034482,0.96552,1.5342e-05,271820.0,1.1597,0.2261,0.1329,0.098439
2024-12-19,0.10956,10221.0,0.00037507,0.93655,1.3087e-05,290570.0,1.1568,0.23097,0.13506,0.10601
2024-12-20,0.11105,9998.8,0.00036852,0.91412,1.4884e-05,280200.0,1.1508,0.23753,0.13414,0.10753
2024-12-21,0.11304,10146.0,0.00030658,0.88779,1.7558e-05,295230.0,1.158,0.24457,0.13561,0.10709
2024-12-22,0.10974,9396.4,0.00024035,0.79523,1.6111e-05,271700.0,1.1568,0.23244,0.13376,0.10771
2024-12-23,0.10354,9174.0,0.00029209,0.81401,1.6407e-05,251980.0,1.1524,0.21855,0.13183,0.10601
2024-12-24,0.10245,8808.6,0.00025411,0.80769,1.6315e-05,246880.0,1.1548,0.21476,0.13029,0.10724
2024-12-25,0.10105,9117.2,0.00022357,0.804,1.6377e-05,258380.0,1.1599,0.20106,0.13142,0.11106
2024-12-26,0.10298,9559.1,0.00024583,0.8316,1.59e-05,274880.0,1.1661,0.21037,0.13361,0.10808
2024-12-27,0.10298,10011.0,0.00024799,0.83211,1.3714e-05,283630.0,1.1623,0.21724,0.13432,0.12009
2024-12-28,0.10175,9828.2,0.00026473,0.84819,1.4752e-05,274810.0,1.159,0.21243,0.13326,0.11864
2024-12-29,0.10505,10291.0,0.00027865,0.83152,1.4468e-05,286920.0,1.1629,0.21689,0.13475,0.12002
2024-12-30,0.096262,10252.0,0.00030132,0.80339,1.6041e-05,281940.0,1.1668,0.21817,0.13438,0.1182
2024-12-31,0.093182,9988.8,0.00026243,0.78339,2.0358e-05,278280.0,1.1584,0.21263,0.13381,0.11454
