date,ora,xalgo,niko,vote,talgo,tiny,gobtc,monko,rio,avoi,opul,malgo,alpha,gold,coop,goeth,chip,galgo,daffir,mooj,algo_vol,price,usd_vol
2025-04-01,70443.33731338695,105815168.49639738,42421.600526041795,92505.89623503444,8992801.65132769,1443282.521161779,954933.0546649992,251593.21434101436,26149.951019995806,32370.55264055528,95033.07634194093,620343.9691106156,249928.65379212686,1289901.9265545001,82921.28101482599,100194.08755914003,55468.27562136,179362488.66849604,18283.07504009321,39897.743349031596,299636131.03250754,0.1799425742490004,53917296.7560002
2025-04-02,79629.04816159577,43058811.68307381,4792.873410840363,143912.72836510933,5282645.713287629,235107.6756738178,349870.32959720003,257983.35462570234,41553.74778753607,23595.4049596691,280562.5835364595,2697019.975315377,217799.50287431755,219171.85479510014,76674.5247232598,103436.38501814003,23607.025347580002,41064006.12320227,30721.722938206203,29283.86901886174,94220186.1257125,0.1892909560015075,17835029.106376093
2025-04-03,9680.966848708842,78054600.32577235,2540.977458161525,135997.55570480032,4988843.671329096,512740.45001526206,580981.6523625003,61562.93261683104,170583.0554057097,12942.225114192861,2657243.984158406,1559869.0603243227,42181.4217485727,303834.5822765402,73181.9174119057,320355.29645548004,23130.65264,31546703.928806383,186057.0863733818,16435.75550299704,121259467.49832562,0.177362948107292,21506936.641423386
2025-04-04,32724.452190963744,64023587.24938817,17199.922911196205,621922.4245855241,8835160.942913758,445386.1489851015,282855.11720399995,248672.55582493727,246993.8227155101,41944.99995139292,175182.62983326125,1416000.8744247742,118734.54515645039,324469.6812529598,91533.21166630732,70668.8022054,46877.24024984,25870740.847997338,10945.568324444044,68122.58385909158,102989723.6216404,0.1810410834733029,18645371.151077792
2025-04-05,7256.161035672955,41799816.41463879,12941.398064236422,67736.79783811198,4786600.954501404,601462.9371153073,738734.442225,250885.4773291633,142877.75883067976,109400.16657253438,50404.08078623437,111884.7532253672,222586.92256176457,130385.35955272004,140980.63152204538,248382.21622930802,31298.1204816,6179349.414932853,7860.390972726156,13921.322626285924,55654765.7210418,0.1860230537466959,10353069.474985126
2025-04-06,29586.159705681544,25969188.267855413,4636.002416857417,306004.750304504,4447098.56387939,219141.83703678704,2338130.242034999,391618.96737778775,7759201.707648259,32658.915294582857,290013.52945485717,235399.8027687774,272895.44778028294,223550.78859240003,84379.06490077777,137951.39144080898,41570.45088150001,4290354.67424844,22108.13537894454,45358.637846404,47140847.33684745,0.1836194889344074,8655978.295926848
2025-04-07,148636.9363977494,54333693.52754889,44856.45598565778,369020.418179715,10520121.549715571,477721.1452996761,4711230.578941205,266100.31470252847,5666023.477086859,45169.91397138426,188028.18799235375,4816175.51571701,177704.42373939164,253408.37766400006,95575.68681350167,85785.259390722,142615.92922937,5129705.672862147,22212.417816642464,44034.484962638955,87537820.27401699,0.1625830986846509,14232170.072249738
2025-04-08,27204.041904154998,29208089.37394839,26440.368871266335,140709.41628968864,8710474.176458498,212879.60735375946,539766.2326847999,130003.77746307598,16081206.242463732,13263.561457143136,129898.0104022145,3496529.7014219547,83933.22252483743,567151.1668777502,156474.92995879133,84281.52519146098,64544.33253694999,2344579.509929779,12202.600884798647,39291.302947067554,62068923.10157011,0.1670856163623623,10370824.27337391
2025-04-09,83676.4245252665,10938614.726457294,4100.535952883177,234128.9835761639,7610376.45030763,289244.65725088364,1621460.6954604993,146255.09942113454,1957047.473600663,25594.45361649089,193487.02009724945,631826.979408845,302116.8629443888,506618.42811561003,179420.11627386315,218259.3918652429,53733.33747683996,3656371.855048327,17221.693725706333,33900.86345270438,28703456.04857768,0.154441446894591,4433003.283017636
2025-04-10,30771.165149779925,7151384.360370715,2350.3486926405744,182944.4661900508,6019421.280098594,335263.85487925773,216321.1797376,262556.4714273926,1879183.7340069986,8429.23889132131,61651.33523316085,265647.63886549376,79471.97119589306,674839.04077896,133279.41312532578,81861.32116639196,35768.582254559995,1015302.5513114511,12228.127544188117,40460.105268701154,18489136.186188474,0.1808725354669264,3344176.9405892068
