dt,algo_vol
2025-08-01,237734139.30426782
2025-08-02,60533755.36412673
2025-08-03,67672007.54261181
2025-08-04,126348946.6602674
2025-08-05,65803900.41727206
2025-08-06,80898357.62733513
2025-08-07,115382598.59817523
2025-08-08,241455589.8956852
2025-08-09,58493557.23212392
2025-08-10,60408379.00039373
2025-08-11,117098577.03657834
2025-08-12,105632320.02310981
2025-08-13,69947992.65784842
2025-08-14,160548858.83307654
2025-08-15,90370450.6177835
2025-08-16,42709956.16115028
2025-08-17,53105750.796152964
2025-08-18,100478345.6617173
2025-08-19,62710305.85469446
2025-08-20,130172724.21770965
2025-08-21,81333133.72598515
2025-08-22,75933935.4997779
2025-08-23,43835836.628363945
2025-08-24,85920866.75989804
2025-08-25,140687783.81136134
2025-08-26,90193560.80463138
2025-08-27,72225990.56579526
2025-08-28,81630363.3080236
2025-08-29,110072421.16044301
2025-08-30,58699302.81847215
2025-08-31,62530255.10156541
