dt,xalgo,ora,talgo,vote,alpha,gobtc,sparky,tiny,opul,finite,pow,goeth,niko,coop,compx,monko,avoi,vest,gonna,golddao
2025-08-01,9007053.158767,56981.1642218407,4937139.643100004,1516250.8754650005,13872768.302695999,2.3032428299999985,21101871907.125004,3622337.3033989994,1124796.471158812,497342.39226343995,12829812.24065701,8.15453221000001,110382849.24665397,1081185.070572999,6531925.373490999,32370311151.481895,9287257.363859,591255.230922,91258814159.05402,5452.0651020000005
2025-08-02,6583317.261032001,186341.5205454516,2137291.65892,978952.1711900004,24966870.032851,6.721497200000002,32742283605.079,3037487.5466490015,844830.9576175732,223389.59318379004,8735105.722086001,12.144682710000007,58408769.499846,435998.136834,4263103.927584999,31792834343.305084,3507948.2923630006,979405.3513619998,25246007820.729668,2903.966702
2025-08-03,4106775.503574,57388.42847700039,1404796.869622,623319.3384519997,37428258.59372898,1.9937789899999996,14407000490.940002,5105734.936127001,1115708.9292088258,273369.56347374,2435149.0590849994,4.385546609999998,13871282.386233997,467326.15092799993,16214866.124226995,34245317754.336617,568145.066647,780632.702493,78100145853.55124,3195.3916340000005
2025-08-04,1409005.4072400003,36532.04180253963,1800322.1258560002,680440.0577850002,18325673.932798997,4.40117579,5180311813.813002,44762551.92703699,924066.5452297102,704289.7553567198,10831531.615859002,4.7998622,19827515.950843994,579381.3873380001,4779161.701002,11492987348.61334,10055431.544730002,660543.3988450002,11555683553.623857,3453.663793999999
2025-08-05,6316687.240692,110894.34893563043,1877711.1457799992,752032.2003209997,23899185.970006,2.876300139999997,1663107377.5960002,4781149.5582260005,379169.2046561739,515336.9434420402,2061413.4556769999,2.7018840200000005,14867840.711215,682353.4208469999,6611999.067010002,44217087220.612175,4686629.217823999,730847.690668,69132568182.23038,3640.1273210000018
2025-08-06,2045714.8497869996,58657.62230542073,1481581.850316999,541775.2432429999,36166089.79868203,0.5200341199999999,12251295838.046997,1053386.2155839999,734943.4436960071,650255.9811081003,2175237.5634709997,16.64110922,61682939.825306006,261051.199019,5996042.475823002,33895644577.675747,3238891.0188710005,81471.765645,83056651752.04453,2229.7004389999993
2025-08-07,2627586.0987429996,45128.791434899744,1930773.863717,874858.1011199998,11381180.02242,0.6159232100000004,55252913413.35801,3330494.3608770003,2170256.867703257,366721.7086858599,5520629.256538,3.1619780700000004,92613807.57293501,280710.14865899994,4132715.3025260004,19454598046.058647,6477670.105273,408041.513755,147863175086.65204,4004.4232779999993
2025-08-08,5178871.2556839995,60386.599876629974,1851422.0346550008,479408.947779,9095145.232487008,1.6629065599999975,9533056901.403002,4969429.2395669995,519950.55322749057,528641.5026819198,7748192.7355,13.874497740000004,20798037.481593,334989.86158,3804725.0220889994,16593600511.768871,3942374.7175549995,418011.08771199995,253217524790.5595,2454.0488269999996
2025-08-09,3090089.656063999,28513.762914200415,780462.2327390002,341856.1640539999,9505873.395229999,0.4531560400000002,6281242077.981999,4514876.128496,778007.7255789646,271590.06349492003,4706932.664923001,9.576369839999998,43774860.199633,837938.8958730001,2283315.348666999,8914962982.780739,3563522.1510819998,67766.648649,104566801452.247,4170.793611
2025-08-10,5876510.593421998,990888.3943297627,1718706.6071409984,755646.9411750004,11654588.726831,2.276881829999993,14211070704.930002,3099036.8975009997,5834751.083677006,227513.46469485998,635850.1566279999,6.854694179999998,15665368.250317,1194184.9775549984,1943358.5235439986,15099624230.546112,11877065.115647996,2288450.284925,75026580480.23787,2878.422553000001
2025-08-11,4978131.102911001,30502.571297480168,2827348.197077,1104480.3995609998,11310984.247442,1.6462161199999983,6792251182.240999,2686474.6185,1268241.4915521252,396200.0533119799,4953545.313877001,7.686611929999999,18563249.426511995,6492709.612848999,1870638.3242519998,6320809773.431943,4146910.1275469987,528775.166183,28542117665.442894,13698.02302700001
2025-08-12,3117058.3534190003,65257.593304160255,1445147.753947001,701792.0881189998,2196715.591059,0.8723090299999999,24333809008.866005,1338376.9456719996,2245764.5211918596,234731.43301184996,1822867.4886169995,15.797955360000003,15702725.420928001,413337.8114010001,1582945.662214,9556318928.79466,6684146.450557002,2600564.7776760007,21260382914.098377,4213.6918510000005
2025-08-13,2661699.1370280003,39929.234181490334,795111.2967919996,588925.7889779997,2761203.9491590005,0.7853225699999997,50821930711.48499,4238967.776533,3085846.7173646204,258557.86305802007,10940755.337133007,7.301548859999997,11447090.744032001,286745.59761199995,14924424.414498989,15668923655.762709,5778957.532979003,1591447.4981679998,48679011285.06268,6533.274833999999
2025-08-14,5952140.883902,28951.710257089795,3848800.7710050005,1152477.0464360001,10217824.248551002,1.7191273299999994,33632784533.985012,3835921.1445939983,5143333.948209257,348962.45308653987,6965519.796899002,51.18059649000005,22946933.057502996,519654.619069,4881189.546042999,14049410925.017122,3706510.3197239996,741165.9283149998,42376606061.19607,18286.741779
2025-08-15,2911203.8512980016,35893.03310965027,2115874.649203,557377.957308,3097643.410992001,0.7349343500000004,44575242347.858,1827971.113329,1583095.427113547,143214.85133891998,2364893.202269,3.4362900600000015,4653571.898664,186022.75587800003,8852240.341423998,4754106609.066979,1704118.6905540002,4081071.8533530002,64090419872.61701,3717.944031000001
2025-08-16,1236982.5382769997,30471.00812402983,1226969.3054340014,241659.67290499993,2187519.491525999,0.3268532300000001,51408523723.01099,696369.175345,671524.8944184573,76031.40822438999,2021169.9840540003,2.267819299999999,4052837.6599159986,188729.74761399996,1406289.3126329992,7015830456.468953,410751.76305899996,164433.20201500002,16955734695.92456,1499.8786570000007
2025-08-17,4728627.41791,49379.94029069024,2134873.135256001,402201.41453900025,975471.6559810002,0.3971541000000003,164150141427.77203,1219006.3879179996,1729098.7374997167,100591.53531232,535695.459364,2.597681300000001,7536405.776782,299000.357484,263387.85767199995,8419044078.217647,2294364.1672190004,128244.093465,57918153856.48185,2299.6514570000004
2025-08-18,2368587.6029309994,35187.77650581965,2178627.3274,532101.5922420002,9383009.317568997,0.98668463,139896570462.99197,960891.8375290001,2549291.8185385955,279029.02876067004,2471672.3509330004,6.841402029999999,28612790.227828,180333.841736,3076001.371992002,3007817039.6211233,1463188.0034320003,413276.1244360001,27318576300.329323,3302.1745579999997
2025-08-19,3103050.5510280007,41272.07309896014,1473102.2316309998,751993.365046,5512405.679640997,1.158843480000001,429507013835.93994,1211524.1753290002,6136769.639620593,423423.9748705,8133083.281061999,2.7564963300000005,62897197.056789,533258.1847820001,2676455.2762339995,10016583386.263039,1780240.5842280004,711554.8025320002,27242770521.738274,4260.478555
2025-08-20,2250494.802127,32154.876227120112,927797.9262590004,518437.9025699999,3818489.129507999,0.8373045400000003,328324005399.27203,1799945.7940549992,746734.3157088056,199683.90256991002,6868264.940662999,3.7333005100000003,8947392.451717999,892756.3193639998,1562857.9788789998,4065515285.8651977,1269743.8775849997,532841.461774,7357618255.787807,2826.064751
2025-08-21,2410432.4950749986,23147.617414050124,1410505.403081998,439344.01865299966,5405003.039388998,0.45927570999999995,298475645739.61597,4325317.205284004,4035536.8642492434,38265.66971615,2444926.049254001,0.6799129999999999,10598188.319812,2698365.3871099995,13334934.705116995,2229296181.3945985,513405.6714159999,422562.71672400006,46401052552.63492,1243.0511820000002
2025-08-22,1712888.6516930002,54751.13484301999,2076994.9547809996,732632.7147339998,8534747.990221998,1.0282767300000009,400063200290.83203,2978564.988626999,6379311.077032354,551113.5380788802,2203943.35264,11.103565440000002,29853420.039623994,247667.60535400003,3004913.554438,8220972785.967203,14544702.445050009,3470203.5218529957,58968356549.0209,5337.466057999999
