date,folks,hog,ora,xalgo,vote,alpha,gobtc,talgo,tiny,hay,pow,iga,opul,silver,nova,coop,compx,mit,wbtc,busk,algo_vol,price,usd_vol
2025-12-01,4466742.667986509,608981.4983887447,46785.02992364089,10989724.634061739,352510.7017815549,5401248.287765216,816655.7022747998,1831855.5515562566,2209793.3494161516,2822925.8953293115,1342428.8599829292,139703.71391750005,154643.1087933394,78280.09527704997,18913.140416900038,44542.52145582179,895633.3275357914,67526.42946969999,252817.7781989999,8217.233497718144,32549929.527029675,0.1373969492463426,4472261.015197325
2025-12-02,8598163.509050416,91047.64674116795,30825.25085053508,6577350.862774888,223957.0869060174,940702.6451247026,517944.7539964001,965328.8429588651,241277.74618572838,361286.1847010775,376874.68103846064,54845.51071700002,180891.3728914748,261710.43030453092,11798.031092880947,212012.35939820157,142517.95112816757,35275.68299300001,72792.75294289994,2337.055382488977,19898940.357178904,0.1306211586835672,2599222.646029905
2025-12-03,1039383.757095636,295029.3088803119,20696.876220267888,2730979.043437119,208679.68107538007,948154.2456148934,167307.43070519995,2730362.149192208,222328.6860906484,1144608.7240762454,490286.58440307336,33632.18265659999,64739.53809826597,419369.3978501677,5825.355865868149,23969.675869935367,63666.65795954407,32941.9412268,111847.7176386,4667.936639152311,10758476.890595917,0.138904130853187,1494396.8817923237
2025-12-04,648386.5930490551,280936.0405676961,31484.93716045905,3814758.7705158815,174091.00797935238,468691.67805917404,335861.82323749986,547983.640753021,89342.27484239756,796126.7999124357,354002.3787985267,18939.8888072,102665.01946290511,13729.295897186003,11012.492983954808,13286.064256529027,28187.546764224404,29061.133968000002,147140.49724919992,2353.9507498902262,7908041.835014589,0.1439416215254193,1138296.3648228524
2025-12-05,791907.5156338994,287287.0733951902,25521.75231167201,20901327.314550683,116311.3240892298,243596.79171505917,356380.3004279997,681224.8506683293,46471.708324619576,102331.92043117886,117461.41719264223,18616.993226399998,181384.36095257112,43851.592674422995,24051.684035399605,10057.1421962401,102888.7819124121,27917.720311799992,68496.0211848,6637.554954919326,24153723.820189465,0.1385770693587352,3347152.26110213
2025-12-06,457737.7396930801,196691.26869572452,38795.509623174374,3253327.0193854906,89829.68933469037,2051810.145537593,76154.77790449999,397469.4566244698,55703.53877222003,93079.4840913736,123788.53297180407,15768.328694999997,243627.99589838428,3894.194994462,12110.26863315407,9242.204060767248,8769.601917498512,26302.502879999996,16421.355673199934,2832.0330723551315,7173355.648458941,0.132810202436767,952694.815822758
2025-12-07,1950310.9352543675,204391.01294905524,21400.272748104184,8018720.19429838,177776.8967842812,1599147.3159381412,464578.2157692,700703.5336254948,63325.149137789514,564175.0165723556,99497.11948175843,47523.983937000005,131337.21883583546,23759.144807237997,36283.156222888654,240736.43340415382,261718.82509802654,42600.614092,62754.746168900005,3245.3041361770297,14713985.08926115,0.1335807209310618,1965504.735992398
2025-12-08,897967.3994980706,414605.90786028194,49980.43243782733,8324364.242721212,118869.84456772124,563827.9228144452,334420.7837831994,470678.31257180887,242981.90598452,186078.6359948132,85655.24780803162,18007.326568,472923.58000258525,12383.652376188002,6485.809479942483,13414.319318094342,90996.801709142,133763.637205,27321.547233200003,4853.428914797762,12469580.738848882,0.1324907818718111,1652104.5017037643
2025-12-09,3479877.6784072514,158203.8705022602,13089.135889783716,14871083.965855416,299227.11262582324,493783.07163402875,265974.3997848001,2452747.63456539,112103.0044604342,205378.31635137048,77393.5573058857,55869.70041379999,706839.7274539638,20199.557866067993,34960.16397167788,19043.618232578374,99606.81064526677,30954.302233600003,69353.1659408,1686281.6065246386,25151970.400664836,0.1335725785990949,3359613.5432649124
2025-12-10,4840102.999828952,151346.08543698004,11109.241617713436,10144691.253370546,177966.8420355428,211505.96303889065,226057.68407540006,661784.1301103177,218998.20966170635,254433.01224330216,69630.49853752482,32840.740774900005,237935.6896972523,39406.42126756101,6425.400109912155,8987.1196553763,24574.10554413438,31043.285535599996,35540.1416313,35196.21279861386,17419575.036971528,0.1382713175511319,2408627.5915428605
2025-12-11,1508447.388922571,1030355.9521196632,11971.363043090387,3031580.690024407,283080.8071791025,604661.9475168241,15676108.676763007,1155815.5619520205,460574.65026253817,190410.02885773854,545510.1857586409,37071.418881499994,222102.56733061117,124239.332186935,23377.84923087398,15332.274323016245,137872.0586452022,32440.800854700017,140188.63893279992,4860.009446595286,25236002.202231836,0.1350452977355856,3408003.4310562923
2025-12-12,1683158.0925853213,194361.23466809414,33909.22015832593,11773941.324008783,290421.4543719479,1382279.8158858751,1709472.080739498,4096103.4211871354,190220.62895946798,580067.8867013257,43281.66622625624,122083.09793349999,396518.9428807467,197871.22588426195,16713.730525990617,36942.491960915395,25977.442164786844,33613.1221575,68005.5768834,13203.899542304427,22888146.355425444,0.1300108662208348,2975707.733858105
