dt,algo_vol
2025-12-01,116196600.74940449
2025-12-02,75365732.37463513
2025-12-03,71856733.52611102
2025-12-04,449212467.1993692
2025-12-05,100678259.530564
2025-12-06,44216097.061725095
2025-12-07,195719840.80380842
2025-12-08,397605516.0562778
2025-12-09,88762004.23863734
2025-12-10,125416959.17659637
2025-12-11,90446181.80295275
2025-12-12,138748350.05288368
2025-12-13,149058978.66313455
2025-12-14,149351359.8266433
2025-12-15,144253783.36987716
2025-12-16,410714734.05103225
2025-12-17,110411490.19648485
2025-12-18,261632060.64425814
2025-12-19,141006500.9545579
2025-12-20,50328966.40794676
2025-12-21,50065580.971363515
2025-12-22,94041879.82930258
2025-12-23,101398930.84025878
2025-12-24,70773460.00705509
2025-12-25,68766914.75560933
2025-12-26,59528571.0135999
2025-12-27,69835168.27854057
2025-12-28,48723904.70772428
2025-12-29,110673833.99424948
2025-12-30,76990423.1458619
2025-12-31,113761621.46317261
