date,hafn
2025-12-01,194863372.98999974
2025-12-02,248344960.2800002
2025-12-03,381133124.3200001
2025-12-04,210710182.01000014
2025-12-05,18261220.029999997
2025-12-06,248998226.33999994
2025-12-07,240703873.21
2025-12-08,189705323.44
2025-12-09,252799746.1499999
2025-12-10,248766366.73999998
2025-12-11,292415886.1000002
2025-12-12,19605487.300000004
2025-12-13,134032653.38000003
2025-12-14,254442428.91999996
2025-12-15,237924214.78000024
2025-12-16,387084250.7499999
2025-12-17,448160751.8300001
2025-12-18,234932044.02
2025-12-19,112816664.27
2025-12-20,89095382.14
2025-12-21,309078017.21999997
2025-12-22,207596741.60000002
2025-12-23,292403694.79
2025-12-24,327834823.86
2025-12-25,192332009.3400001
2025-12-26,32555105.139999997
2025-12-27,148535701.49999994
2025-12-28,247739153.36999997
2025-12-29,216776569.3500002
2025-12-30,361672442.15
2025-12-31,215211177.51000002
