dt,ora,xalgo,niko,vote,talgo,tiny,gobtc,monko,rio,avoi,opul,malgo,stbl,alpha,gold,coop,goeth,chip,galgo,daffir
2025-02-01,47165.77777621056,14126083.224303937,40800614.863083996,735001.9997109999,2769155.8455959996,1957236.8618190007,2.3121250200000008,27133955402.93896,24230.660119099997,12987549.334198987,1261272.1086412948,764694.366645,9768.367727,0.0,2395.228484999999,2738995.635404,5.0583852100000035,4152688.2000000007,2021923.9240009994,273250.105712
2025-02-02,229458.82399385032,14410484.610063002,46135368.645127006,2348429.7679669987,3230655.975375,3973164.3395419996,5.542597069999998,44000823133.83901,201780.19078280014,17235261.628663998,2274445.967018743,598966.8639870001,20368.522125,63027578.19705902,1062.0923420000004,4991688.710916,19.785597569999997,3780536.8,9578730.305781,806035.0332940001
2025-02-03,140799.73772717005,16664015.563215002,44115145.73807801,3704917.5451780017,5553516.526706998,3502332.2238929975,9.326503519999985,216842685668.7953,281917.94476309995,16570695.491827993,4394860.884945656,1813015.204457001,63851.972846,4063543.856920001,3740.7097179999987,6152466.290124,60.23959765999994,8796959.400000004,19883098.097316984,2046546.7556790002
2025-02-04,84376.85368600051,8352414.750703,76660923.69071001,1732991.6299169993,1575899.3691479997,1403431.1636469995,2.1157577,25276204833.831226,340337.0589094001,5197977.926778002,2584187.4084616746,345922.9600949999,20367.09015,3423816.803603999,1416.0590710000004,524973.170593,36.62785465999999,4126373.1,1883656.0590880006,714647.3240849999
2025-02-05,20530.78071825007,5720897.699561996,28758320.187195007,422323.6609660002,1492707.0340600004,1472772.73089,0.9129333699999999,112725931295.55835,968483.8995028997,11309269.821708996,1423539.6327983602,467436.84661200014,6147.6476729999995,691750.173901,199.33327100000002,1757029.4234849997,7.011594080000002,3191282.6999999997,629014.9491179999,1100526.4767639993
2025-02-06,205140.5537827185,6005681.603514995,123202154.81175898,615182.0215479998,2905816.2180540017,2615186.0258040014,1.2255321200000002,69452094795.70541,1074468.7901577,4293834.050716,1312760.47945567,344773.50651700003,10293.569124,205395.972095,184.36072099999998,1621531.6942030005,19.014266929999998,2291197.6999999997,1296054.2840180001,1494727.6971200001
2025-02-07,12135.315909079998,6659786.887843031,6094762.072754,834761.493812,1520986.8626869991,1484196.823783,2.7585466099999976,78809520953.53369,227132.83899750005,28490715.279607985,2050413.4031045067,353124.3309090001,13876.003363999998,1121544.3800690002,447.15594899999996,613818.1043710001,13.673608669999995,3942195.8999999994,3596630.933066001,2263397.219625
2025-02-08,12340.286787690053,5339633.820669982,14119785.307795005,303370.67291200004,2609685.346263,1860485.9078469994,2.850878160000001,27086400490.933857,88342.81958329999,16878782.074703988,1725866.1454025207,436551.414348,6553.678373,196563577.11218694,266.467628,1481271.522915,1.0832924600000002,2133515.9000000004,611258.5919090001,197828.81710400002
2025-02-09,15600.890066430069,10572358.047451999,15749470.996830998,606222.0914279998,1378813.0472370002,1029914.7204160002,1.4150512199999998,32334618185.11874,297406.64297389996,18937393.056092,502850.57267136633,256650.31053,14190.935626999999,22146758.749677993,783.750349,409597.6871969999,6.705424970000001,2702407.5999999996,3379857.5193090015,307873.289884
2025-02-10,13206.12471900009,3901133.96779,17324459.508737,538043.2848949998,1404659.245544,1482970.0182250005,0.9718529600000002,30669298156.727066,82389.29825500002,7120678.772371995,1898196.4346363016,260663.2074649999,8934.461403,6873100.3808389995,298.100461,338667.1238040001,9.315391510000001,4065828.5000000014,1980232.2347490024,635071.4010799999
