dt,usdc,usdt,eurs,xusd
2025-02-01,20359661.543220997,10252.151894999997,8300.659581999997,333553.6387639997
2025-02-02,38331970.93351002,19906.27625699999,103032.034453,609245.4778489994
2025-02-03,60016466.19480913,39230.55098600001,48776.18966300001,460111.873193
2025-02-04,44235077.58030304,13049.154664999996,32169.81981399998,59206.066476999986
2025-02-05,22753597.940597013,4554.886546999997,10119.916078999997,86847.54707400006
2025-02-06,15446062.480868993,7766.788730000001,12516.658872999998,37894.66090799998
2025-02-07,32107971.036897957,20980.771848,18393.966781000003,86604.83579400001
2025-02-08,5607858.129292995,18196.73343500001,7487.931748,31724.424618000005
2025-02-09,9015050.716204984,10826.014472000006,34797.014686999995,89643.72687
2025-02-10,16017591.965294994,16937.180846999996,6049.470864999999,19160.00419199999
2025-02-11,14681716.842659011,7102.817122,9162.130228000002,12596.297316
2025-02-12,18896854.908459987,5989.205316000003,7341.230534000001,26357.423584999986
2025-02-13,12646891.75039199,1492.7966649999998,145470.80696900006,60725.787689
2025-02-14,71324913.81641681,3045.772749,16102.979985999998,6448.404178999999
2025-02-15,6339660.717392991,2745.2714339999998,28462.672803999998,11255.957996999998
2025-02-16,7729968.827789988,3947.077646,5707.7634849999995,21678.830866000004
2025-02-17,4011490.9329580017,15651.966104,6444.320369000002,41602.542303
2025-02-18,26314905.04059398,14331.813319999997,10900.629960000004,42022.133750000045
2025-02-19,12871149.346940009,1152.998642,8415.082184,8882.313248000004
2025-02-20,7135207.188340037,2395.541950999999,9096.941829999998,9755.503081999996
2025-02-21,44335022.85926906,7790.576789,16585.753139999993,26801.63630099999
2025-02-22,8204152.8580279965,9296.822636000004,1206.920569,28126.18248399999
2025-02-23,7562690.385769999,5754.540176999995,2639.173878,16781.194380000004
2025-02-24,23942646.39943499,22403.390364,8135.875431999997,32554.596432000006
2025-02-25,35732934.68661098,17943.816900000005,235376.1763549999,88610.626623
2025-02-26,31751013.429462954,5706.792649000003,4625.482257,36266.83309300001
2025-02-27,22595778.742253024,18291.23088999999,3475.663216999999,10834.008638
2025-02-28,39103708.42024692,14680.087727999999,7739.796998999999,88865.68631399996
