date,ora,monko,niko,ballsack,tiny,mooj,gobtc,vote,xalgo,opul,talgo,coop,bro,galgo,ipt,gold,avoi,goeth,meep,cat
2025-01-01,35043.731664143175,2442468.8544202494,23294.431616757436,,324995.1629589717,134684.2782279136,1896184.8570600008,72374.76342752643,19442355.93005865,280403.4417010093,8394054.3421021,311664.52374144207,668960.0782109054,140306466.48078638,95799.23956907653,315761.0881869599,153895.66310408764,5058700.143536821,174983.7203768911,350230543.73376137
2025-01-02,80269.19417876474,3088286.949175773,68070.50740841495,,733655.4367725616,78478.39823137004,1705881.4026491994,73433.94441304711,7945085.857762644,405837.0057987358,9860256.71594753,191319.15728324314,556787.6966089973,98866378.00412656,91977.01289838135,1219139.0335172797,241200.1382018721,1078189.8747269113,168798.9846023765,279310238.68060184
2025-01-03,210897.1870130878,1839989.136838668,38289.57965705029,3396351.0961701507,955161.4485060906,87037.14118695492,960699.8386007004,61617.44206623121,6929473.162242583,471229.41603095183,15724289.12608159,72665.17201104588,690179.5654068147,17126799.69504662,147741.4997291345,119245.82599024998,62468.556323598015,313333.954924536,86000.30677699321,157468391.73215064
2025-01-04,66667.05810434798,3197985.9811863876,14660.293745931296,2209464.675476018,774671.4694968128,134207.1614283503,1072696.2463345993,45901.83014809675,5150297.3768637255,279373.9544171584,5251158.15566675,105309.21311670645,472549.1849298267,11515671.428716868,121428.5234281333,1075888.4183852798,36767.2984144894,247811.56282864593,138970.657721387,269516494.74524534
2025-01-05,95282.24007824634,1957581.5642170846,29057.897501687898,1305786.0242333135,920530.0524453929,60121.64446598586,405044.5321425001,45037.45101829885,8610907.651430024,192301.36225158497,19756204.052324075,46162.33943038662,257679.39303359692,6323486.5843288535,81167.33275873068,128469.32145151,66835.26758572765,401305.4417066758,85387.6525298557,145009553.1173884
2025-01-06,75936.6666879547,2243128.330723379,17137.06227807192,2765264.6124812886,374722.21394239285,110349.43294731039,1058854.4935649964,67332.87568461761,14128772.941394798,388974.17220027273,5095946.917956092,49698.90234612646,786362.6318156094,43909330.94325671,67098.74504906278,218094.37103758016,16520.204220873264,369812.9765480696,224021.92057065715,316983572.4599936
2025-01-07,51315.00321970885,1720768.2353824687,40053.91656720656,3046953.4559440445,598287.6045373377,87827.06637152827,795700.4545280001,130031.61398500975,3190409.0261983853,258217.97681505507,24152444.53824855,89182.50397570818,396065.6794371189,101162465.80879031,62299.8670445694,146854.35514351004,25853.14954840888,180502.4277286299,157890.21621409175,270197064.5672114
2025-01-08,59733.29189163342,2596589.4651584043,27175.930086745106,1508861.0552967626,228905.7701849529,93484.93191076958,574033.7147116001,106960.45430814913,4821018.096759018,638688.3346255433,2958157.5564449867,417666.06998133427,273246.0315525436,17988674.363388706,42526.290443145925,173083.5297609,39464.06412456703,218755.10130127607,140786.4159228314,284232027.2272973
2025-01-09,60992.383142416715,2541182.420167078,15402.739685509612,1498334.1999161737,407020.0494174959,64000.55404742084,657178.6695863999,89363.8715615131,3135199.723974385,325307.93962177687,3761327.6086659636,181300.80120737146,146548.39938492607,101172793.2237597,43402.489646787624,1187512.2846153004,10431.980256124274,186235.61363315996,83340.52441149137,165707430.73721537
2025-01-10,19823.304979594817,1220332.1324332724,4468.655049716034,1544093.9618950435,172625.68363698403,82974.19567427528,736842.4354031995,96573.26542907079,3980165.945549936,347753.2755293261,3840744.249285007,342555.2512983195,144414.44737680376,95389039.5718597,40979.36221099179,311404.4859109003,39626.14384855757,484626.88148253976,73473.00636981305,162310640.8764428
2025-01-11,15456.741760150995,917553.6332512774,12057.968847954777,744557.6016488278,145837.18507100144,115581.02479928549,362382.36969039997,47939.50388351086,3540123.54046306,86679.53326409428,4293888.09818824,30965.161949758407,236651.30266194674,46936127.31185327,43376.86098562296,180704.08250206008,6036.279107337562,129957.78110814188,49379.441627051805,107708686.64947374
2025-01-12,29624.990780370328,814085.8307132348,20000.575940278297,816855.9765552683,200679.1628246377,45746.390242001806,170238.92806350003,102782.28553185475,3303877.8861580966,82319.4940873127,2488843.5547332577,37903.87220349982,119674.15591321074,15034271.58567194,67827.49025690016,36018.47399474001,72834.39734696741,85726.426168733,38598.032880777115,81909446.30605157
2025-01-13,36899.63468893374,1093918.2326143903,39011.914589641434,1092309.04188516,965121.6866494492,128496.06267412586,3559655.439124802,200380.24067495755,9620409.03886881,626065.5753451374,9009932.447921667,181736.7429953018,131222.4825104569,94853936.87565018,91451.27276156635,579446.4252741204,37271.71000863625,1367099.0815051203,78291.82066217912,185533103.09119096
2025-01-14,63980.90501919937,710149.2316934012,15526.886568686903,737338.4282713962,811443.027040847,26142.799529613985,610299.9505402001,204132.74379573658,15682466.046091983,309337.3702560272,27640847.452582866,178809.04608818956,58556.03231440063,190047165.76123574,30169.664587853564,226944.9537299,29684.32677335774,215058.31793159994,32209.951878742915,89129536.01159044
2025-01-15,67449.29326456107,1021989.8384075352,9094.308721201958,691673.682671874,468118.3369779962,70307.53676770181,596959.9076412,128297.513578374,4350181.462137179,364347.4986222305,2154218.056351837,100953.3523998799,142403.8775877285,7614733.287055604,26908.21537442753,315719.36337825,26035.502870074735,224554.17984895193,27222.859542888986,83184477.36090882
2025-01-16,20972.17222897491,1125175.5548716378,22894.327524867247,859675.0705408657,298826.5005550781,197482.66699420073,1433402.078114397,85747.87957119779,4014631.286584531,746973.0655150736,3367845.2683301773,80896.03792141378,124693.32940041699,2543703.23846085,19851.131655532434,179229.40151855993,31395.134945466798,272179.9340710557,44806.72547300036,117195882.55600478
2025-01-17,63270.009059367956,1156212.5092795182,12207.02134688955,374733.8169863699,2198206.1550106467,59841.84917279673,1034278.3764368992,70896.38570928019,1201366.03841657,533527.329032362,4206291.329158083,60406.73315459505,203984.0965671101,6304754.836914341,21669.6627388972,101854.45866882004,43815.11957268974,680372.9425592007,28022.58379470446,69051626.00867887
2025-01-18,20854.544604587165,1776636.2468396635,7486.759827276376,537713.2134729065,252491.71690433624,59807.66165797177,382862.9421345001,99034.07800735437,1216730.338818758,520918.8615257345,3234009.8183170664,63037.88153560409,201063.4532165311,1325122.5806060869,30726.544810311374,93268.60658676,13586.88973932184,216659.61109456405,30468.84301924784,79371550.15423694
