dt,hafn
2025-07-01,186136818.18999997
2025-07-02,116591233.72000001
2025-07-03,230987939.32000005
2025-07-04,6304581.25
2025-07-05,103294553.27000001
2025-07-06,98050876.08000001
2025-07-07,233711647.60999992
2025-07-08,145169905.25
2025-07-09,147834704.47000003
2025-07-10,219109624.9699999
2025-07-11,12189860.39
2025-07-12,90266410.16
2025-07-13,194187844.31999996
2025-07-14,243810859.7300001
2025-07-15,86547250.61
2025-07-16,167221970.79000002
2025-07-17,137647148.61
2025-07-18,8071118.91
2025-07-19,61303769.97000001
2025-07-20,150339627.65
2025-07-21,68431939.72999999
2025-07-22,84467160.14000002
2025-07-23,79658016.14999999
2025-07-24,73739603.06
2025-07-25,4734837.5600000005
2025-07-26,54506073.839999996
2025-07-27,322709701.71
2025-07-28,101016036.29000002
2025-07-29,97602483.06
2025-07-30,161865444.05
2025-07-31,140608951.73
