dt,algo_vol
2025-03-01,80356697.28573163
2025-03-02,205956199.2254744
2025-03-03,148699523.1105901
2025-03-04,148375902.18384552
2025-03-05,91402880.16843165
2025-03-06,86924321.97495076
2025-03-07,93319281.41688992
2025-03-08,95879325.20536608
2025-03-09,142485560.95448443
2025-03-10,257908676.7408456
2025-03-11,169853381.26766846
2025-03-12,132332801.26660061
2025-03-13,109257621.48984239
2025-03-14,97066101.79665427
2025-03-15,70629728.67999588
2025-03-16,97181034.90939796
2025-03-17,105097567.80570757
2025-03-18,134089726.53871429
2025-03-19,120352007.9518179
2025-03-20,96609443.2318116
2025-03-21,91714336.417428
2025-03-22,44331487.1389609
2025-03-23,39307543.49962714
2025-03-24,113449785.91120642
2025-03-25,75496484.94362696
2025-03-26,71732413.83048105
2025-03-27,99619960.36306033
2025-03-28,118405234.07525992
2025-03-29,75025786.7870231
2025-03-30,76511922.33139433
2025-03-31,1042789306.2938614
