dt,ora,niko,talgo,vote,tiny,gobtc,silver,rio,stbl,alpha,monko,opul,gold,chip,malgo,coop,avoi,goeth,daffir,calgo
2025-03-01,41615.50321393943,43472120.84678301,1724947.398762001,365672.50293499994,1480745.5311179995,0.7422699700000004,12875.903655999995,652171.4233778999,8151.075647,9540733.828070994,33832684213.418606,1187617.2976325206,506.0990029999997,4281616.8,151631.11008699995,523348.9106900001,1781985.650225,8.07185106,281395.33600000007,66074.374314
2025-03-02,52779.93456719003,5414879.113614999,3483738.4447989976,1243253.0401800002,6280328.085991004,4.559211339999997,51354.36969299999,165510.05092310003,29019.55209000002,6201176.8275460005,21954304018.09887,1124827.6350950117,604.6619850000001,5073350.8999999985,368517.30475699995,2139428.513112,8391854.938345,37.63112754999997,686826.8773550001,491560.691874
2025-03-03,51490.70105964023,2715353.986333,2214895.3683760003,889360.9117920002,2395003.1476780004,1.6191471200000005,30285.645930000002,3393047.9729303024,26416.215652999992,3281020.070159001,10378291722.618137,1191037.329634875,348.90931900000004,13222341.3,179937.14173600002,474914.7410490001,6368379.258268999,10.362698649999992,411107.1468100001,52150.630874999995
2025-03-04,49387.999383270246,376704206.2785519,1836807.6123780003,964363.7138309996,1986759.509179001,1.7215415600000006,23026.898394,2765437.2653566026,27442.102619999998,2093579.3684640003,19019456502.44653,1209206.5717046633,403.01120999999995,5893364.399999999,215741.59171100004,662006.7463459998,9042070.594888998,12.85770047,447645.47601099993,54259.35344499999
2025-03-05,24107.679679950048,22367251.051814,815116.1371869998,472852.692182,1915905.9036050003,1.7016453499999993,19880.976066999996,709136.1904585998,10441.188405,22134046.679086003,7061099395.215234,745453.4860852386,221.89073799999997,5888048.800000001,288148.09512600006,343158.01595499995,5227331.850826997,2.9983347900000004,418918.24310700013,72222.32979700001
2025-03-06,31754.887517049992,32344935.413289987,880898.24731,333204.23550700006,2548032.260668,0.84787256,68484.82382199998,2674984.6123537,10419.428637000003,1087213.3131800003,23334142729.147343,889018.1906242736,385.363795,2798086.0000000005,45488.922989,453930.59640800016,1340134.3766789997,3.7133866599999994,140557.651623,17958.816137000005
2025-03-07,30203.39831474985,56060916.814265005,1408626.1604590004,659559.949553,1217784.1288529998,1.3831547400000002,18485.909242000005,3673280.9995139022,19766.433115,22208582.607376996,12502473210.549341,944070.8717439777,164.703996,7254842.300000001,97046.49298699998,541584.6057230001,3661629.8279920006,9.381829679999992,360069.643285,20799.871418
2025-03-08,14671.829278580091,108672437.57924198,821183.9998850002,327163.043269,702626.2196919997,4.42215549,5239.992715000001,2125314.3465888,6777.8166710000005,3793744.8288899995,6125221411.917127,560064.0435748866,51.14402700000001,4334840.8,46454.205658999985,227236.03634899994,1835183.502724,8.614345909999997,153342.59805000006,28778.23391599999
2025-03-09,39002.0851030602,200082707.19752303,1884510.115677,805232.09181,3581870.3940259987,2.2649806999999993,42646.71874300001,1453044.7204642,17097.06706,4855279.183503,23508067184.751896,1902448.754943775,744.7914869999997,6289889.499999999,181268.44534899996,1343330.6913239998,4847682.223756,4.46326949,370735.416195,68019.05042800002
2025-03-10,35015.36407528008,46928244.31958399,3661284.5110919997,1309450.184056999,3372726.440142003,5.142553369999996,47555.83642600002,335084.30923720007,24410.662529000005,23931607.594188027,29503214423.68634,1248946.275333395,781.9351899999998,14016271.700000001,160453.25240299987,1237482.999538,6502005.072372999,32.59213185999997,555333.2539699998,181963.96259000007
2025-03-11,56576.29081456007,7916589.558149001,2397584.6796139986,1108989.7435629999,2323730.800108999,3.3415277199999984,44172.166739,5126627.005936297,21861.895741,3812066.913524003,13118577811.937721,2833803.074400374,469.9751959999999,103448596.39999998,144861.84411799998,1112094.846306,3265210.1269940003,18.479649839999986,460483.73477800004,29445.857359000005
2025-03-12,28311.161906439793,12298497.429751,1921256.802146996,734598.951609,1247960.2219559997,0.7791931600000002,20829.312241999996,997190.1673131003,24408.978275999994,3525663.3108739974,12236280393.86471,1703389.7397927707,117.41985299999997,12793088.999999994,87044.73319700002,282395.5742179996,4313756.701450002,5.009208890000001,280916.564167,17915.965480999996
2025-03-13,30369.41407293009,9622563.767694002,1631775.902270998,543502.2116369999,2939154.254819999,0.6302949299999999,11382.571877000002,1912272.0355636997,14260.733103000008,10108953.417572,11043740435.489933,1869490.761230977,128.50294,3975861.400000001,85974.975626,266884.437678,2870025.73739,18.715357539999985,484275.4168470001,19754.27315
2025-03-14,50902.417474190246,111392461.64387898,4112136.881264002,317668.12920200016,2663620.4225049997,0.6060460800000002,5789.012607,660829.3343267998,6068.595638999999,9315434.335993007,18498206399.90881,2136490.626916289,132.006981,6199262.100000001,101541.35209399999,502865.68593299977,4679840.3214529995,7.787285570000002,286882.82304099994,39579.721510999996
