dt,algo_vol
2025-05-01,94415583.7920942
2025-05-02,140979904.70539454
2025-05-03,75850316.25240175
2025-05-04,76398771.26466009
2025-05-05,97772880.60010648
2025-05-06,119656487.21767454
2025-05-07,85385129.99931999
2025-05-08,450307398.4645423
2025-05-09,380259239.9577197
2025-05-10,83813845.15129578
2025-05-11,147425300.7983528
2025-05-12,120152155.57476437
2025-05-13,194585798.20684603
2025-05-14,112285689.94595765
2025-05-15,110526395.58308816
2025-05-16,66622775.98060781
2025-05-17,52946295.782003626
2025-05-18,64855171.83580084
2025-05-19,65203898.06189131
2025-05-20,66594361.84746801
2025-05-21,140581874.28321365
2025-05-22,181291609.8614918
2025-05-23,101172923.19597551
2025-05-24,50755289.65754803
2025-05-25,71358802.06843801
2025-05-26,84182442.58970134
2025-05-27,78774922.973067
2025-05-28,93166442.72176367
2025-05-29,74574415.04152727
2025-05-30,147305677.25880903
2025-05-31,58840010.64048752
