dt,algo_vol
2025-11-01,49803627.11494417
2025-11-02,55940345.65185552
2025-11-03,134875582.83970848
2025-11-04,127866100.68014413
2025-11-05,102016493.56917019
2025-11-06,100999350.60772337
2025-11-07,175663859.12157077
2025-11-08,82188020.12605765
2025-11-09,81446364.10428105
2025-11-10,86687367.69377333
2025-11-11,62649708.687385656
2025-11-12,81245972.48184246
2025-11-13,79984808.47648774
2025-11-14,153178125.05355683
2025-11-15,62492645.37240747
2025-11-16,75908668.75081217
2025-11-17,115013671.2233983
2025-11-18,83578905.32106844
2025-11-19,73935662.61041616
2025-11-20,121259891.80451669
2025-11-21,172272029.90258142
2025-11-22,64165433.49272276
2025-11-23,77633103.32695271
2025-11-24,116103096.28032658
2025-11-25,100798560.27816135
2025-11-26,125766107.15624318
2025-11-27,221149297.46779546
2025-11-28,55556028.80008829
2025-11-29,36403036.773293264
2025-11-30,59124400.37178117
