date,xalgo,hog,ora,vote,talgo,gobtc,hay,alpha,tiny,pow,opul,golddao,niko,silver,coop,iga,goeth,compx,fam,finite,algo_vol,price,usd_vol
2025-10-01,6200602.723461288,2047866.9323662638,1203603.5831621897,103842.21524766735,1388052.1735963132,429391.23484660004,282101.5468621872,118502.24067967202,1779653.0157980856,231301.91828346008,125932.49763823852,12278.782298783095,7275.035931706508,21978.943569310002,68619.00872460238,25656.059428799996,10258.737915900003,17573.576134166793,37621.2521754,28959.639889483533,14141071.118010119,0.2078860465586782,2939731.368828231
2025-10-02,3718242.591901842,328524.0517810801,65528.25246446925,66011.34917746215,3306716.5720760124,137694.27200659996,331056.46514762816,89783.76779078227,522536.49939024134,53593.23395521933,71249.45814554318,10060.810759201999,6437.094987690253,33324.63750660589,49748.869899403966,47810.866720499995,43546.02750286,35409.7834337279,29690.723120799998,24212.214885944413,8971177.542653615,0.2208339319558661,1981140.4110183623
2025-10-03,6247428.339551576,5159366.327342424,38799.839567555995,92262.54864425864,1055720.8413134057,396990.7278939991,212769.48742698962,127756.83191565788,119086.86367892794,55134.10803403322,198090.88696394349,6566.0441577087,39036.820851570614,25442.87350530419,17479.33288688714,25046.0009812,91275.782418,12028.066892920078,16901.1449513,16613.412882463097,13953796.281860122,0.2245843105752742,3133803.71786938
2025-10-04,4983059.451507344,282164.5914416703,57279.15174387403,106054.81640077449,1450777.7068962532,673459.3710659997,154144.07740052097,53487.39511222636,143690.90200407122,19103.60180436989,104843.27352069039,9576.8485538676,12178.152602738563,205454.20043720878,57624.28457401492,50342.10021000001,36591.42116812002,5840.760957840882,5520.6629688,28047.195420071082,8439239.965790458,0.224919393595308,1898148.7355108776
2025-10-05,5371115.222713695,430570.36525803286,40797.64460106436,81789.44822985258,1106292.4893897162,345405.1516608002,412791.6983918399,208791.9282232581,93452.28736931017,21406.556621851632,65356.31752126248,12827.751684810806,81200.37450527376,70928.0399490516,30480.711823019694,144679.37088989993,31755.142247360007,6713.6941409618585,16141.729109999998,18617.630641160296,8591113.554972222,0.21969064412886,1887387.2706760278
2025-10-06,11443735.79706845,247134.21695407003,25248.506881441954,199675.9412196822,1100402.1546764981,270030.91579199996,322019.9939644301,527094.8091325781,153574.91629165428,166155.27432680922,276559.56235503725,13402.885597358205,115690.92630098364,31647.25591665,29428.677312667973,347702.8989096003,27493.6856256,7372.358918084796,23842.0064,12491.90884146423,15340704.69248506,0.2187673604338387,3356045.47276996
2025-10-07,27540289.210647553,125290.21793053208,51294.24372177491,149615.83973830185,1192501.3476402047,571584.6804991999,757440.350821609,355046.4237292761,199682.4715036568,767628.9152689072,565684.2027015268,14280.135819729596,30810.401979831353,16946.4828023784,24652.158870929212,104859.56172620002,40755.097392640004,8548.97404763908,11003.109696,14851.745131664435,32542765.571669556,0.2294093841599755,7465615.808659166
2025-10-08,5912921.437929433,142720.77467754402,41015.37926785796,88172.11117938609,1173618.1110869693,364187.85505249986,247551.99109189914,221416.3215744141,58079.63510625418,235052.78450229173,128091.69188435412,11761.594616086495,12099.91955750537,211281.11213947713,240288.09510709468,35965.92559750001,255723.92180876996,32681.3896483224,6405.6373728,21284.91052853267,9440320.599728994,0.2188629646157929,2066136.5533802276
2025-10-09,5136241.850916529,176446.56610968598,62834.09629010459,94782.4185530681,964509.0478998191,205919.367941,136990.03008358408,328445.5083769635,154774.42822883063,176449.58556564874,151958.66720634114,10790.356196640001,33397.41434085304,123526.81966218285,12820.259204848926,142590.8792668,31130.326660950002,27054.92524420459,22210.954225899997,22588.407858547027,8015461.909832501,0.2240227452648991,1795645.781606908
2025-10-10,34056083.34762775,593412.6260414234,109642.61406746457,1778624.9460023276,13535009.4723479,3784489.267220196,845701.0739965065,1976941.0506837594,1164103.6501603771,210254.36447185482,706815.5012454843,328505.2835194182,17603.97931330707,648692.579178189,356444.0592473193,234479.05897009998,775317.29709786,82528.1315463486,37502.707228,220358.97030539054,61462509.98027098,0.2207739724872231,13569322.487380022
2025-10-11,13107489.03884868,200886.947130277,35720.55192911614,378634.6678876194,5890771.946914045,16621349.298940795,275751.40005220316,535250.2814830601,712777.0140453163,117187.63192929319,256911.50113996377,57761.47964296441,39527.025320887056,251730.77060693092,135993.60382396774,149464.8089532001,4200961.9596504895,7612136.639107915,22322.235189799998,59045.536579657055,50661674.33917617,0.1771122220304303,8972801.713993523
2025-10-12,5941446.013382889,817306.8080378636,108065.77547926284,137120.69472469448,1853524.6418450712,441953.4560196001,178943.10585495923,129522.78627494573,134879.27355757667,196268.06809281692,182337.35990245882,26977.412027419596,18598.728168722213,128136.03830714402,22249.94908161535,103838.98315999997,169703.13269364001,126458.97381756206,19673.3470668,137564.3967171966,10874568.94421224,0.1820207391477522,1979397.0771387029
2025-10-13,6071593.513420096,160608.21164884794,19904.537972322883,100300.3181999933,1436919.1885430268,186797.23903439974,115577.3348074653,451866.51602958026,101534.75266298123,17317.94506968959,109733.48030921929,13075.282007309994,7871.756721323062,246386.99638948482,16351.667958518616,107603.4684333,111851.19641807997,68005.28034527139,15441.575638499999,24593.53807169359,9383333.799681103,0.2026443897691046,1901479.9518361907
2025-10-14,4539787.118292656,1052567.207260339,63593.91330292899,196925.3546992555,3076009.2812481266,1157267.5716824988,82627.40644445662,212825.5946004539,158533.6335393164,62599.05020473138,143425.1800345413,30216.858306263188,16331.065756240047,61223.765781403185,29636.051674292547,237706.71744960017,33582.11866812001,114821.69305337174,20715.103590400002,46972.00955005434,11337366.695139052,0.213127170992265,2416300.890236911
2025-10-15,5392054.065327775,60653.49159526993,6177.6296341196385,109443.27495953863,3321446.44607117,653434.0596695999,41589.976940576424,103446.04720063717,97677.58112575024,28341.873801110083,141839.36338113016,10563.1849496654,10340.7934243982,226762.4979334935,21835.38531877592,24722.575695999996,14904.26812046,44559.433829172165,3637.4646755999997,18683.088856590726,10332112.502510836,0.2053811600808625,2122021.251851659
2025-10-16,2418899.4083806924,486096.00934346876,13530.825057358938,172156.1524034429,2907849.0922991997,1224688.7634697997,486758.59364834655,182126.56548121906,346445.0211523583,102880.53019914906,54919.88971163415,21497.100220899796,6041.991162539691,116722.04575497842,46096.39251644625,146283.80720100008,91695.01839042998,101436.59379508755,19157.900785899998,40463.97374511446,8985745.674719065,0.1961458264561781,1762516.5116927987
2025-10-17,7303234.493163173,387935.35459128866,38250.99628352731,283489.72932989267,4157656.512500402,1271202.3858795015,609343.5687482376,767573.6188479542,337179.7463773819,43272.64005709863,284172.9123471929,57379.159793825995,11138.34436485207,88605.11139082344,52157.59813325695,91228.58796989993,4423016.42690235,144043.67149737928,11829.551758200001,54064.34133631658,20416774.751272555,0.1847129051935554,3771241.7789899833
2025-10-18,1204099.704365745,186864.69974071893,5923.953095817139,56787.09281244671,568673.9450147874,129412.0688418,148495.16469431718,265784.20421555865,73831.71305325632,32815.81652632997,159252.48098325598,9935.667808534798,30103.507439016354,128465.67401834128,8011.9482704669535,17624.9874878,22575.307379519996,45797.90198974391,36595.9974012,3019.922234543952,3134071.7573732003,0.177476585395287,556224.353882402
2025-10-19,2659770.7950859335,106006.45444451702,23449.519229608737,68961.87046648744,902243.0653841697,108779.00370779994,93795.7505388876,285273.9237157277,247980.03211324435,11862.003461812394,209274.6429944496,8633.8682486348,8498.165227550397,29081.04331682401,17712.408080475616,31007.1679092,17094.53562518,111027.4091439943,12692.5415266,10805.274451683576,4963949.474672781,0.1795577572427883,891315.6347387618
2025-10-20,1919524.9170538248,316680.76632753987,74547.13522783226,425648.0877446583,1407453.627020138,171082.07209320005,576684.3471495867,205825.44653877537,319365.6879810494,27789.162173513676,48085.66926798341,27122.980354243802,29854.676820527657,50623.86206486402,21232.282888052065,33504.75020100001,15799.981453750002,88792.01837393462,27027.7295113,35468.02858583373,5822113.228831608,0.1834743024907765,1068208.1636822019
2025-10-21,3736442.9860652504,220743.7526028154,46330.24695369853,326426.7419270505,1901287.3667934611,437833.45909290004,186208.37901975837,3329557.780239215,148342.32487547956,167648.6067807801,92594.95032311424,40128.257487063194,11702.22759500354,189560.7839012336,20535.19318949517,21156.905780399993,60271.86328294999,103436.78877040069,9969.19889,24048.456970179697,11074226.270540247,0.1868993909502589,2069766.1452093292
