dt,algo_vol
2025-10-01,79458773.33735803
2025-10-02,75878607.91748382
2025-10-03,72424579.15051843
2025-10-04,39898173.15854022
2025-10-05,51343330.49661467
2025-10-06,2071879666.6893556
2025-10-07,151207519.16137913
2025-10-08,74496847.94004738
2025-10-09,111987541.80113456
2025-10-10,362783076.9566189
2025-10-11,469054344.6954686
2025-10-12,124475125.34060696
2025-10-13,221214761.4236978
2025-10-14,141420796.62267965
2025-10-15,99442375.34592566
2025-10-16,166494797.63264802
2025-10-17,108328488.67892323
2025-10-18,36154816.568047576
2025-10-19,40296501.03938888
2025-10-20,61922892.060057774
2025-10-21,105055969.16233021
2025-10-22,89958795.8058258
2025-10-23,195460048.88068336
2025-10-24,247067926.1599145
2025-10-25,111521960.77422215
2025-10-26,43712781.07884293
2025-10-27,96657588.9287278
2025-10-28,166812823.57792485
2025-10-29,101880659.28478254
2025-10-30,108344589.60112351
2025-10-31,83753725.35290322
