dt,hog,ora,vote,hay,talgo,finite,xalgo,tiny,alpha,puff,vest,gonna,gobtc,busk,unit,pow,niko,sparky,coop,opul
2025-09-01,177665.14164800016,60257.13052695019,1138795.931758,0.0,7752579.688997004,3424818.0436181026,6194484.149598001,64087773.857675046,7543098.096821996,,300826.369634,98950163077.35867,2.62816712,548063832.2362069,917.1567383400001,2243878.3362450004,35594063.145754,231555063927.78802,854671.984355,1767661.6927156171
2025-09-02,39602.75509399993,38632.56277917993,629772.4267970001,20000000.0,6101434.438717003,1772288.79367888,2871732.6694789995,7579050.086356002,4503467.383448999,,642227.4962379998,168902975950.63028,0.51804678,230166205.580358,2948.3345853299984,8476012.229791999,151185897.4447109,69604061929.06996,426639.66611999995,518292.15263113275
2025-09-03,27853.734244999992,190203.38229921015,634726.3028019996,65426600.18180396,4190205.451322,1536015.2217395501,5941411.444782002,5557518.594456999,12964542.262167998,0.0,637037.8422420004,132514523863.08263,0.2804505599999999,1411909805.6217012,4837.646145869995,2560187.279392,145459128.41131297,260791897365.48007,227616.79886600003,2046743.4621585985
2025-09-04,46020.14880000001,79085.71845715996,566807.133855,5311990.602270001,3519198.8579220017,1966950.4614126193,2451760.403863,5351163.666976001,31101146.52769998,0.0,1028069.890234,240404455235.1529,0.47652756,1695277980.6700077,929.8233466599995,10975599.113335,190205703.57162097,7297581592381.04,1946909.2847949995,549814.0015780777
2025-09-05,18463.200959999966,113160.75172380017,500879.76308499987,8272660.925799999,812031.7262700002,1501435.4990826105,2296857.3951789993,8525852.651015006,16539177.992210008,101739945.79894002,863339.6401159988,89528071140.68826,1.309297529999999,25570940307.977913,1637.02804286,11889409.626489999,30657234.862134,364745815715.99603,2779884.106147001,1100156.9610034465
2025-09-06,19652.178771000024,210441.25881215022,365824.922817,3219379.7155479994,482171.88338100014,1089386.8573181906,1418172.221651,3713690.671434999,3462355.259307995,27724239.25717502,221385.7075010001,50608854203.3766,0.3566978900000002,129049923242.08395,650.96041401,1912118.9081659997,49361070.97593101,110210542444.40303,588219.7729099999,680902.2159838364
2025-09-07,8077.004062000004,102212.42565499015,323967.63515600003,3952604.9177089995,2766573.652428004,572421.33584483,2143683.9156,5347914.079901002,6658579.192112999,23448451.305040997,434516.37251200026,47490135978.36528,0.34059157999999995,3870757308.6008906,3914.4076884899982,2881080.099967,70314752.056937,195451021897.82205,204919.79705899997,867656.5518382019
2025-09-08,26436.629297999214,62947.303564659494,260910.3688320001,2685438.694032,1434477.5024920006,1034146.9848100002,1480169.059678,1177308.2938400004,4081747.554080001,12195530.854536,659424.2781559998,15244001009.853342,0.24491258999999974,10290114506.818003,9041.717351469999,1757692.3422139995,12109066.735276999,51876867397.347,98230.988171,1367265.5287562076
2025-09-09,14523.147508000024,137616.49198035034,631544.0305999999,5864926.568280002,1493972.3195649995,1747998.3498773896,11341741.834142005,1342814.593631,4227945.942078999,22290766.076518003,773953.8708499997,121842149171.66817,1.3301281200000001,703359922.960872,1380.8152909500002,2562846.0779440003,29721562.297443993,34544871700.281006,514115.0225110001,1797688.985452267
2025-09-10,64101.577613000685,124721.2992887015,688393.7124389994,24588381.860083994,3165026.593958998,1123995.5992084898,4207403.100576,3479782.4442379978,5049290.310247002,6086685.445322999,807566.6329600001,124012988042.74202,0.3209549200000005,799620881.9610817,1573.5639489700002,1378745.567945,23118514.666160997,97431408593.18292,510647.8798550003,1636157.5764615953
