dt,algo_vol
2026-02-01,174359113.1505121
2026-02-02,105794869.84795973
2026-02-03,106505057.8353824
2026-02-04,58451533.51204221
2026-02-05,236865418.30696264
2026-02-06,422078331.527565
2026-02-07,131682455.42178881
2026-02-08,48508123.67111787
2026-02-09,51915710.14024019
2026-02-10,168450333.6498616
2026-02-11,74355488.28981023
2026-02-12,59096483.05260671
2026-02-13,48891660.96222115
2026-02-14,78356427.01694499
2026-02-15,61461783.96966257
2026-02-16,50307235.16756162
2026-02-17,104499063.9092398
2026-02-18,54277467.446055725
2026-02-19,77260096.52678604
2026-02-20,66338171.62253085
2026-02-21,47748356.0928695
2026-02-22,52987369.37510188
2026-02-23,188038575.21248442
2026-02-24,89596855.03971416
2026-02-25,123415558.01024774
2026-02-26,126921616.56965566
2026-02-27,48755662.060637705
2026-02-28,76525336.78545433
