dt,gobtc,ora,vote,folks,hog,alpha,talgo,silver,tiny,hay,wbtc,xalgo,gold,nova,goeth,coop,costs,opul,pow,golddao
2026-02-01,11.699554819999994,148606.747549071,3087528.192147003,67636.66725400006,15472.726651000017,6141457.292764017,1822027.989818001,59779.82672300012,25444827.54068999,2276566.476423002,1.4185243999999995,8617534.584148003,717.866012,82961310066.56233,12.400134579999992,1165751.4849609996,200.0,8069991.777075124,11549367.702883996,3226.552458
2026-02-02,4.098342279999992,132592.2732278292,2597467.2511220067,62885.71053199997,15471.547155000013,4370397.475498,1046143.0003489996,48856.74760799999,44672230.10299693,5934279.693770004,1.4243845099999994,4772327.910347001,324.8682230000004,242931974061.57123,10.30230887,1289604.3071360001,,2090365.549746511,2439704.798091001,7709.493836000004
2026-02-03,22.376787079999986,52574.000984900544,2270914.3291979996,32179.827172999994,12794.597247000002,8212169.974334,1254458.1150550002,9916.254589,9277049.689966995,1281099.2603840027,3.7751781999999956,8718362.839220004,179.5676459999999,453375031290.24286,6.2880110600000005,601991.565131,,2511649.021384849,10081298.055737,5037.140787000003
2026-02-04,0.9833533699999986,66756.51315204107,978061.547457001,28790.255153999966,9334.182528000023,2421263.0892659994,1042171.4143330014,6506.799769999997,2942521.9691870008,4069171.643385995,0.5653518000000002,1572852.9571990008,33.957833999999984,102428418752.43726,2.327103030000001,194551.34421200003,,2614882.079090076,9225610.576337995,2507.5685340000014
2026-02-05,23.345982469999974,117784.42495896094,3373295.3028209982,62715.58674699995,12176.903818000004,4279632.719558001,4395280.978551,26031.432939999977,9279821.648471998,1798633.6452890008,0.7767299200000006,10210297.737540996,186.72720700000008,80670437777.42526,5.663722089999997,676889.5952860003,,6487372.468217517,8775495.083735002,9336.197294999994
2026-02-06,4.29235213000001,160265.28141487174,4006186.435628999,106971.80683199991,13501.519729000014,8120439.486034995,6184207.372533007,30038.452117000004,9670955.733291,2892580.497323,1.107828469999999,9168090.344827004,151.29381800000002,105738339168.54025,9.248475369999973,635461.9634959998,,4273116.278872507,4312898.731326996,7232.290048000008
2026-02-07,4.432004850000008,27457.204073510864,851900.004614999,20648.487507,4545.056459999996,909784.161331,949584.8692960007,1537.583869,1943847.648750999,705258.8862320001,0.20549348999999992,2735469.925497998,30.26977600000001,38763141369.80105,2.809138449999997,101957.89468599994,,1050055.7044728312,2205561.124993,1118.771922
2026-02-08,0.9520616999999993,53193.93440573044,826424.3390270004,36667.08488900002,17094.545088999996,1170008.885100999,874074.2275470002,15739.02318299999,2574410.307346002,262406.01063399983,0.12577586000000004,2016754.1748150005,37.45690000000002,42900254520.29211,2.3159127500000016,236842.10088199994,,437768.2604325934,2499930.741499997,881.8117390000002
2026-02-09,1.4192567800000018,77756.0205277984,794038.8757939999,67988.87081200014,7122.496852999999,990691.6412879983,460897.63729500014,13750.449641000003,3319773.6079080007,292958.5831440001,0.08283958999999999,781974.015264,50.99188899999999,60746391405.719894,1.2094573999999996,202389.7368899999,,679126.1486945387,1616031.9444329995,1060.700577
2026-02-10,1.0266051100000007,23628.376663500334,735188.3586400001,32433.731913999978,3971.9692790000045,3818206.1248419983,1167955.6779879993,6236.764816000003,2920932.753000999,363165.25541700004,0.12026265999999995,1189016.8626260003,28.858985999999994,175786129840.90515,7.220292739999996,2287150.6157379993,,781337.0391688469,548688.0331359999,914.3405240000002
2026-02-11,0.5179993299999996,68498.14201263073,1001823.7927069997,37937.861582000005,4689.622572999993,4156276.2546950015,898724.4410440007,21494.91698099999,3425669.9697570014,1181169.68383,0.32173823999999973,1963177.4951599997,125.43515800000006,266241895749.21976,1.4138030100000003,380976.178734,,10191916.815218195,3397808.7763910005,1534.8121039999994
