date,hafn
2026-02-01,147363800.88000005
2026-02-02,243494554.42000002
2026-02-03,204651189.75999996
2026-02-04,341292730.3799995
2026-02-05,230245441.55000034
2026-02-06,17806799.320000008
2026-02-07,337179713.32000005
2026-02-08,534763653.1899997
2026-02-09,470345844.89
2026-02-10,554462569.1200005
2026-02-11,355896208.5600001
2026-02-12,453862275.20000017
2026-02-13,46494432.779999994
2026-02-14,381305663.8
2026-02-15,79242236.36999999
2026-02-16,460420567.8100002
2026-02-17,352897055.58999985
2026-02-18,279751081.01
2026-02-19,521033977.0999995
2026-02-20,55588934.980000004
2026-02-21,227132091.2799999
2026-02-22,357165721.65999985
2026-02-23,195546878.0699998
2026-02-24,522122863.33999985
2026-02-25,247530668.75
2026-02-26,154954922.33
2026-02-27,8352749.479999999
2026-02-28,111506737.73
