date,hafn
2026-01-01,114659917.14
2026-01-02,19742193.77
2026-01-03,113547466.13
2026-01-04,197585941.11
2026-01-05,289809423.74
2026-01-06,357666429.88000005
2026-01-07,241134488.01000005
2026-01-08,259053873.84
2026-01-09,33668664.940000005
2026-01-10,244794567.83
2026-01-11,246107642.01999995
2026-01-12,407888146.7599999
2026-01-13,164017435.39000002
2026-01-14,185578610.07999998
2026-01-15,311683483.59
2026-01-16,23436753.390000004
2026-01-17,136230005.62999997
2026-01-18,199008359.57999992
2026-01-19,187342220.92
2026-01-20,214702056.98000002
2026-01-21,128755179.1
2026-01-22,122579043.97999993
2026-01-23,14405976.859999998
2026-01-24,58541317.489999995
2026-01-25,164663144.97
2026-01-26,206387802.74999988
2026-01-27,52059773.370000005
2026-01-28,86925239.55999997
2026-01-29,213582349.68999997
2026-01-30,12517780.849999998
2026-01-31,81751171.88
