dt,algo_vol
2025-04-01,535426017.1007677
2025-04-02,358344155.13342905
2025-04-03,519837039.3232509
2025-04-04,337033482.7356209
2025-04-05,139854482.7328242
2025-04-06,178647909.9917316
2025-04-07,389403097.51388454
2025-04-08,400657514.06778884
2025-04-09,245045743.9109243
2025-04-10,399089626.4628383
2025-04-11,157234672.3596958
2025-04-12,103221284.91253102
2025-04-13,49686642.55918626
2025-04-14,166530148.0049601
2025-04-15,160585008.75308582
2025-04-16,139547810.68389794
2025-04-17,130063256.08108489
2025-04-18,85845954.81751902
2025-04-19,90442084.13847391
2025-04-20,64652046.53332171
2025-04-21,145951878.58854392
2025-04-22,103795984.34368995
2025-04-23,286110991.9634006
2025-04-24,92599814.52038044
2025-04-25,118644138.12565582
2025-04-26,60436945.01908562
2025-04-27,45436244.335672334
2025-04-28,120639989.77661306
2025-04-29,85480927.70609432
2025-04-30,152345869.3919509
