dt,ora,xalgo,niko,vote,talgo,tiny,gobtc,monko,rio,avoi,opul,malgo,alpha,gold,coop,goeth,chip,galgo,daffir,mooj
2025-04-01,182998.22651163026,92706473.18766198,151273403.43772703,595237.7339620001,8832925.696225999,11193442.850641998,2.1479442499999983,35678883422.3459,22382.907660700002,4932805.9736,545133.2320423388,534917.6244809999,11722182.533282999,2426.86295,1023353.1330119583,9.942848820000002,8225077.2,179795796.538153,427444.2999110001,704098.5325868102
2025-04-02,195408.70714502034,37717949.967654005,17182452.896107994,911936.6856670004,5186691.912898998,1803526.2018549999,0.7508913800000001,35186425704.89264,37838.051163300006,3470575.9865369997,1600836.3775902058,2323815.2466959995,9611628.546969,382.93326600000023,894810.5303340001,10.048220810000004,3505490.6,41157433.497241005,743813.3534660002,522022.01577378006
2025-04-03,23872.381448250046,68361009.218578,9192119.010822,867995.6325299994,4895823.033689005,3974116.028641002,1.2703217500000008,8653893450.404285,162707.98875020002,1926155.660524,16072364.266366698,1345874.9441969998,1907625.8026669996,541.9520580000004,864207.05249,31.92061543,3451100.0,31641311.450042006,4560110.937805001,296883.28431562
2025-04-04,81067.33765442997,56057777.120557025,63923599.476702,4001559.8030210016,8668721.490299996,3581714.1052279975,0.6358580999999999,33213024338.195488,238549.18168389998,6777237.393384,1106509.789244955,1221532.8454319998,5533862.09715,613.6078239999997,1093325.509631,7.231764450000001,7018811.799999999,25920508.223787006,270154.21869000007,1223971.53743629
2025-04-05,18262.303464809993,36592678.293477006,47893853.166930996,434210.2425519998,4695968.757482002,4572124.189398003,1.6352727,34027136120.37858,143976.29798429998,18499131.957883995,316052.6761113266,96485.64438200001,10267871.693042004,238.73106700000008,1713571.056386,25.182210620000003,4690965.3,6195954.573189,193882.66421800002,249723.26091603
2025-04-06,73537.04597142033,22730142.904030994,17155765.15138,1909784.374365,4362466.709710997,1647682.9852390005,4.8995834999999985,60512534168.42371,8669595.981685001,4898665.840882998,1690548.1169038601,202546.724117,11500018.869797003,384.83523600000007,976451.3261829999,14.157718309999998,6248752.500000002,4303393.957941001,540395.868567,807898.2232545598
2025-04-07,421581.34951286105,47544359.054558,167449813.29572114,2309842.377189002,10316879.032770002,3559239.646100999,10.05770586000001,42907640598.95326,5878471.434738301,7016576.670092,1162605.5029515473,4047546.4456819994,7818744.444711001,435.7090400000001,1122017.4075919993,9.13610226,21624528.7,5137669.059905,545866.9472289999,788470.2220784801
2025-04-08,80091.97993333038,25553883.966709003,98555124.76243599,863565.8296900002,8540517.870829001,1568289.4309249998,1.09628368,21962694484.664738,17773216.4483463,1990838.2176040006,758484.2368458163,2937766.511025,3389597.872742001,923.3230230000004,1720582.4522919997,8.868285529999998,9782853.499999998,2348336.848888,293607.00860899995,704675.6151057705
2025-04-09,227110.04376632965,9568417.360442,15302220.221977001,1489654.409723,7458959.571016005,2129931.202142,3.5726797299999986,23191903242.968864,1985580.2619651018,4265884.465564,1258452.1632341428,531259.5471360001,14085358.895258,928.161567,2052838.2544119994,23.648531509999994,8136853.199999995,3666601.6737180003,426047.5415789999,616110.48729108
2025-04-10,81890.47570199044,6254490.432369,8748738.852188999,1158169.5757789998,5899080.047136999,2508145.843339999,0.47966912,47412548788.73767,2146387.5158558995,1393009.352237,397571.00169704546,223270.834481,3543742.584317,1135.977916,1511584.3252429997,9.402430529999997,5412429.599999999,1017133.391416,303284.4947589999,747268.4926991201
2025-04-11,38647.044437840384,9057558.948204003,74724447.69790302,263363.3455270001,2045683.4745799995,2208744.1956619993,0.5589339799999999,38128765501.2194,974515.7535224002,2557013.295362999,866522.8229122986,141307.636554,7161355.665313001,66.329334,478612.42708299996,6.731322050000004,9940044.700000001,1780991.2443209998,287148.46167,395448.79055774
2025-04-12,19573.445226750046,6297410.719565998,31104990.556998998,500125.38282700005,4391874.9832190005,1706028.1878979998,1.28936333,15883169727.195765,57467.64733310001,1978198.8784839998,572079.4653274072,302261.2059810001,12225390.47893301,159.76305200000002,490917.8927559999,15.46319481999999,2432211.8999999994,578932.437748,336522.85521500005,811430.8901376502
2025-04-13,43210.14919169046,3053136.036611,51001207.10260497,457006.7293299997,2550952.7066209996,2486233.246606001,1.5235357899999962,20628518450.920006,41362.39067999999,10798193.966702005,877721.3937764455,96143.99520099998,8456784.36123,93.574969,1379178.2250339997,4.10253655,8715555.0,976386.9027759997,350149.702604,400312.36018829
2025-04-14,66006.26548078026,24309498.715931006,42444846.31672202,348420.892286,2944681.614410001,867013.8944789998,0.6960601000000003,34366991025.40474,433077.5074627001,10677183.713719998,761387.2494692707,295462.991044,10599901.681371,60.78444699999999,353903.22173499997,5.696596650000001,13543288.599999998,1536736.06238,415073.337169,515532.69865182997
2025-04-15,22575.551351909977,13254449.014864,41396131.566314,273546.8936,2610003.743943,1583525.7290319998,0.6090043400000003,3162175537.496383,174798.8195804001,15550721.531142004,805355.929897594,75910.715941,11153819.013145998,88.55067500000004,289408.6904240001,7.008529319999998,6967490.399999997,671879.196808,121956.076563,1154295.3552322197
2025-04-16,10013.439902120046,9684609.248840993,13269140.112336002,320414.21791600005,2966863.012734003,1094711.3207679996,0.3734761100000001,4084308533.1850805,1677320.9816887002,16386713.629533991,3162256.6038848753,69131.501387,1248070.0380670002,150.79132099999998,221199.23395099994,3.27378075,2822879.3000000003,255877.24977199995,104320.17894200003,520525.47680650983
2025-04-17,27859.59157698018,1893949.712805,15886948.559673,203856.186154,3585935.4537030044,3762171.0658120005,0.21120396000000005,1865885104.4729862,31363.6678594,7758543.9568010075,1541576.5684422024,38229.35469499998,1056762.724795,141.00932300000002,490967.98143399996,2.0366431199999986,4735092.499999998,125320.081649,77267.79751799996,488700.9930502899
2025-04-18,28474.920749400153,10072038.709270999,11358825.64066,375435.30941400013,2838904.6430279994,1115282.212177,0.57552239,2175992758.247802,39730.1168736,23955957.81026401,362143.26331373357,529777.3875350001,2761062.8152840002,233.98405000000002,2150898.8688239995,1.8522718,8518615.4,1752998.2051649997,185973.38823800004,270075.96227215003
2025-04-19,12659.557219460028,12328212.904597001,42914473.043651,104681.66482100001,2341519.702710001,1469896.3536160002,0.34619941,4766721267.632162,22483.123753,5051757.178935999,851397.6297305538,244041.31522399993,2291453.7517180005,43.97077499999999,1068804.2620740004,0.50990274,4386681.399999999,1204119.177126,234527.42327099998,241729.08213759
2025-04-20,52698.2440638902,6640840.833969001,52032062.71757599,167586.78115000002,3688659.9950720007,1654210.281574,0.13184187,10599872507.376074,32390.052523500002,35289855.806995004,431382.45739484404,81320.66273200003,7365320.055931001,42.257741999999986,380696.66018200124,1.7068002400000002,3596360.3,462497.846017,63007.915014000006,1108166.7578705202
2025-04-21,34849.27342508007,3687294.550249001,82326822.08577512,648225.3225569996,3509213.7834960003,2112686.2457780004,0.9529681400000005,17763245098.188988,104196.64643679997,65581296.17635304,761894.0589933502,147634.82412299997,4008483.864229998,143.9954,2764008.4022569982,29.855390769999943,13910059.600000003,882753.9074150001,319261.162532,602011.5280002999
2025-04-22,51507.33709017004,3721749.378868001,59555427.55386099,769143.1035530003,3254071.4262460005,2389012.5910949996,6.472945139999994,12332849357.93581,885128.7833337999,18309402.271268006,1288264.5976957565,96945.87112699999,4563361.042899996,343.04853099999997,2570805.836093997,9.344187060000005,9144264.800000004,427400.886769,229531.33849600004,293262.1410763599
2025-04-23,23357.027845660028,10597172.521240005,80739294.89241205,723693.984368,3521955.666044,1357812.1504069997,0.5880912600000002,17556533198.696125,352282.4678382999,15177665.813380998,1735780.073358868,551440.2369100001,6896037.173741996,172.64884000000006,1245879.7181040004,4.6121881999999985,5433842.4,352165.6135260002,226577.62547099998,1033048.8786789399
2025-04-24,39758.49125453998,5393818.873407999,11411096.625499,555920.48354,4931379.619061,12012251.460305994,0.7172767400000002,33595665995.61527,674744.8349446004,15038784.790036999,1865869.8158409721,68430.298885,8075726.087879999,234.61559099999994,655376.316968,4.11837734,4095975.2999999993,54332.75005,364835.36065,341532.63654701
2025-04-25,83109.61861671014,4940790.045596999,244834299.35299003,629922.8791040002,2468585.2185610016,1626462.2356420003,2.563914669999999,22608972727.43947,639311.2832029001,17141235.034088008,8734516.590030488,950118.9933859988,4811227.913137998,559.7842319999999,1567661.913812,8.598874819999999,9290535.7,40159.692468,146449.91401999997,596373.4250253098
2025-04-26,24370.42021709953,5463765.252114002,25372426.359437995,306843.57583299995,4492540.583874997,2160567.1377100013,0.47987764000000044,6875133708.179182,530923.2072402999,22754232.134122998,655447.9292607247,707505.5233489996,3246681.7411739994,59.579626000000005,229818.45312000005,11.784645689999993,2091270.8000000003,44788.370673,103449.45359199992,179178.88788783
2025-04-27,18423.177167160044,4183867.285842,16954925.645765,350622.73905099987,2036713.0001500014,905190.4295679999,0.36014313000000014,13950327979.116634,1125474.9458687003,25165819.57221601,464621.51916246983,59288.647218000035,4321215.166552999,118.333201,251197.77173800013,13.993395499999997,3125731.8000000003,25082.313445,74895.00759200001,217553.06672937004
2025-04-28,114830.06672146049,3697479.2074109996,73774674.326962,486534.8404750001,2298086.689099,4152115.494900999,0.75731093,34401345901.68721,691016.6623073999,2416769.1324909995,942319.4762548768,161948.40429900002,2839802.913721001,68.64426799999997,175930.24901600002,3.2962147200000014,6339570.3,28867.024354000005,372747.593083,480286.55791335006
2025-04-29,71562.02679203932,3353792.5347920004,45422878.357063,435814.93920200015,1920619.9108250001,2026192.5370460006,0.5574662000000001,29437357066.07612,741334.7418701003,10650424.066739002,486000.1968986176,98809.03204199996,4618015.038814002,24.87487299999999,222877.61415199994,1.68104679,6376726.3,260408.78729999997,461061.64451500005,644050.2718377701
2025-04-30,86134.81079874013,4231078.152831,55444430.48687899,729761.273603,4064087.391788997,13152714.555482998,1.6160635499999996,66534631626.880196,138681.42687690005,2022509.5653159998,2875679.2111276905,145219.00231499996,4233573.660773,82.45392799999999,313281.0999060001,2.9295946900000005,1481999.5,74310.25996599998,3857317.464589,626194.2942832899
