dt,hafn
2025-04-01,1140249.4300000002
2025-04-02,60100085.629999995
2025-04-03,51778899.69
2025-04-04,5198688.529999999
2025-04-05,60041302.780000016
2025-04-06,106835815.75
2025-04-07,222492941.9999999
2025-04-08,192141576.73000002
2025-04-09,189512384.74
2025-04-10,162162818.12
2025-04-11,15571947.87
2025-04-12,152758955.31
2025-04-13,225300239.52999997
2025-04-14,234162650.04000002
2025-04-15,212476867.35999998
2025-04-16,204257164.06
2025-04-17,173333986.26
2025-04-18,15131110.079999998
2025-04-19,139948242.45999998
2025-04-20,303845855.29999995
2025-04-21,237227924.19000003
2025-04-22,182405623.07
2025-04-23,212203117.51999998
2025-04-24,154472758.67999998
2025-04-25,47158932.96
2025-04-26,151207400.25
2025-04-27,272518918.63
2025-04-28,190555705.39999998
2025-04-29,113166784.12
2025-04-30,114602892.38000003
