dt,hafn
2025-08-01,5576207.279999999
2025-08-02,99041641.03
2025-08-03,182648376.15000004
2025-08-04,169074491.1900001
2025-08-05,248690899.81999895
2025-08-06,195380663.57
2025-08-07,294240911.46000004
2025-08-08,22815643.810000002
2025-08-09,154742465.52
2025-08-10,339169061.82
2025-08-11,249883359.36
2025-08-12,174377861.10000002
2025-08-13,226404091.22999996
2025-08-14,219776491.62999997
2025-08-15,17345147.09
2025-08-16,219069901.48
2025-08-17,330056657.25999993
2025-08-18,243977524.82000002
2025-08-19,34759511.019999996
2025-08-20,344351239.58000004
2025-08-21,223615348.2400005
2025-08-22,20566201.810000002
2025-08-23,273948882.91
2025-08-24,289612279.93
2025-08-25,269643702.18000007
2025-08-26,206143428.85999998
2025-08-27,301927534.52
2025-08-28,321586593.35
2025-08-29,44558169.56
2025-08-30,251523758.5
2025-08-31,376716146.78999996
