dt,coop,goeth,fry,ora,monko,gobtc,malgo,opul,vote,tiny
2024-12-01,1497113.63,208.94,116178345.5,99448.4,15933735304,19.64,1199975.73,3770998.89,1101722.28,5225427.1
2024-12-02,2437353.44,214.51,105953217.8,223684.46,57934183844,13.41,995736.8,4197485.94,1140634.3,5955417.98
2024-12-03,2094044.81,302.5,24176098.22,160949.2,294963210424,20.15,1316814.06,6600963.96,1469735.35,3753994.15
2024-12-04,1955146.46,78.81,33648829.72,154184.4,1398846028903,7.42,914087.61,3778194.1,1205118.77,2178518.43
2024-12-05,860919.01,102.6,25950438.03,106752.03,862347730203,18.6,1411054.13,4954545.23,1329724.79,3316001.63
2024-12-06,404928.93,77.41,22540271.15,79323.41,430354464512,11.07,712341.1,3335761.85,990326.76,3663450.95
2024-12-07,658729.69,50.7,7052620.66,18828.81,576503653080,6.2,784383.53,2936881.16,607715.82,1420446.09
2024-12-08,443271.03,31.47,6819911.79,47344.43,355633629973,2,597822.38,1870272.59,347244.43,936131.28
2024-12-09,2806700.1,244.89,3575513.36,124737.43,708253543359,19.14,1751612.82,3709208.96,1886520.43,2699490.78
2024-12-10,1489469.2,125.87,30010345.09,69534.12,325216284853,11.44,923842.3,5425283.81,1181892.89,1975148.69
2024-12-11,971997.98,28.39,5072270.72,79621.98,276331192080,2.53,446691.9,2429002.24,575286.67,2883045.24
2024-12-12,690570.05,35.45,12486573.27,86457.42,188650537664,3.42,638793.83,3239301.07,433677.28,2699833.45
2024-12-13,1134925.8,30.89,12458026.44,125435.47,132197243711,2.97,298906.44,1248414.42,302694.7,2952007.34
2024-12-14,307995.24,11.75,27501287.96,67361.29,243221340071,1.6,536100.86,1282151.09,211854.04,2378544.51
2024-12-15,2059176.67,17.58,19830232.5,29591.86,364837429816,2.61,202692.73,1426224.79,227141.02,1522310.02
2024-12-16,3194140.08,28.1,39123908.13,220328.94,388801864192,3.03,338812.94,2012357.73,421166.28,1837035.16
2024-12-17,566312.5,40.22,20258614.44,189859.77,177011512730,5.6,864256.15,1957328.17,596119.75,1484397.41
2024-12-18,1157374.09,87.88,53309482.88,177003.79,222206934394,5.04,1257383.67,2288028.08,996854.9,6191492.75
2024-12-19,2489146.24,80.05,40301283.66,121277.69,179808322719,6.79,1062293.28,2386191.42,1465076.61,6350468.51
2024-12-20,2434435.58,59.31,12154606.8,73552.69,175668944306,11.03,1642274,2781250.48,1920863.42,3812703.09
2024-12-21,1243438.59,264.67,44662084.22,66800.82,85126233377,3.78,404803.55,1190805.31,739313.99,1442923.28
2024-12-22,1026382.29,20.3,68058871.18,115147.51,76164307151,2.88,528571.84,565639.74,545804.23,1505121.64
2024-12-23,1348233.48,322.34,65263570.14,81026.74,71825173292,3.39,351980.3,960970.5,499991.32,2195443.74
2024-12-24,466446.02,359.06,78793825.17,110819.87,54190109235,3.31,207544.81,760867.13,343504.59,1471048.86
2024-12-25,942163.67,6.34,72482876.68,51017.09,98011368191,0.76,67722.62,1429148.27,130050.94,1007296.42
2024-12-26,1063136.23,34.44,15582024.9,82435.96,230687270043,1.67,519158.49,997496.56,480775.12,2313065.13
2024-12-27,485094.57,203.33,3313067.17,59064.95,99898981403,2.56,533611.2,716512.85,594222.8,4722249.68
2024-12-28,305379.49,119.28,101007933.1,101601.74,78049245037,1.49,95355.35,556384.01,216162.87,984066.5
2024-12-29,1297616.12,6.7,64560826.95,142677.95,80486496802,1.39,185730.12,2558742.02,343970.03,3914453.66
2024-12-30,1795249.48,616.56,10075388.25,46532.07,65157386524,13.58,486355.95,971355.1,759853.81,1563641.73
2024-12-31,1152686.88,144.96,16078663.68,94998.3,59168323281,3.53,935017.95,4164034.66,726429.82,3668614.48
