date,ora,xalgo,niko,vote,talgo,tiny,gobtc,monko,rio,avoi,opul,malgo,stbl,alpha,gold,coop,goeth,chip,galgo,daffir,algo_vol,price,usd_vol
2025-02-01,25001.635483613692,15918683.185468106,10569.807286430541,98144.81702140982,2796016.657298281,206038.32444368623,669267.7082892002,344574.09966192185,40988.58465746955,85826.92102012059,192873.7308534268,888880.731788148,29594.2468657192,,613058.7307357498,184800.0355207079,45583.63831991503,30542.191173360003,1958819.678332928,11711.772780922032,24150976.49700111,0.3790156715989339,9153598.576780945
2025-02-02,109502.33998634525,16195943.653249806,11665.789315606815,323190.90466761834,3247455.38644695,426558.92349322914,1812540.0938313992,508165.5063727068,411066.60466272046,126039.74476425695,368664.9467940681,693603.6284969461,69996.4262825625,831711.9218883908,320465.12235166016,346757.6396812018,191587.89838982397,27859.53178656,9209374.465190083,34007.42408970716,35266157.95174164,0.3482512533052659,12281483.705955496
2025-02-03,65678.85365759302,18868664.82222835,10869.971909862423,508240.58884751826,5602942.82379469,382174.49227120384,3038761.3768863943,3432186.0287656924,525015.7885323211,111199.30916746092,733018.847000086,2105454.5569359153,210468.87289498516,47096.47330170281,1077062.5491037394,410412.5688153017,560222.2342782334,64278.50263986003,19567553.33051256,81945.77864414283,57403247.77018761,0.2993105023088626,17181394.92425495
2025-02-04,40005.59763814342,9388114.179790173,19315.486333111294,240695.20747917204,1587876.2043535246,155710.68760663457,709138.508309,354144.90592680924,598108.3473273797,36641.58600144349,445643.11858921574,400993.89534212387,71472.19275438,46190.71249742155,447361.3817103201,35788.99595883659,344261.5431638739,30191.84669808,1845229.4754826056,28778.847740902944,16825662.720703147,0.3122491325297694,5253798.588778037
2025-02-05,9786.201937161077,6441730.809706807,7069.370268416276,58935.26688780534,1505992.1266631342,164420.3476765596,309639.6111029,1283497.4537312277,1592768.6211224687,80621.5227049991,255639.2472579295,542974.6410244993,22145.056447680596,9325.48409435938,64245.1132433,126442.86543167452,69228.27298947201,23372.954494799997,614824.3718658978,41515.16028296834,13224174.49893406,0.2920192305358194,3861713.2616501297
2025-02-06,113894.03546016531,6772006.576123509,29766.87262406909,86943.67510537882,2933421.472125515,285918.2882011515,438887.56281440007,752652.3513010596,1677783.0158312486,30792.37212789965,234432.76642119355,400661.2919234057,39040.4196165948,2835.902186715665,63401.6519519,117812.385242319,191663.8106544,16784.16875135,1261605.1611488014,58319.790558531044,15508623.570169609,0.281548526835325,4366430.119424852
2025-02-07,6664.108731471281,7496922.0996449,1474.2619977784652,117935.10384575935,1534523.6457649134,165072.37074114525,991007.8696424991,795818.5425887833,332590.6161440393,209238.662084969,341004.2530703106,408882.66275953123,52093.29182912879,15999.952126064356,151375.70341497,44847.39215965838,134019.14065727097,28827.70173833999,3474489.34657908,85162.58378561024,16387949.309306223,0.2660830444752608,4360555.444926447
2025-02-08,6656.720901883645,6000680.487668925,3420.235595107184,42617.512130677766,2628475.080756094,210979.1019498497,995184.5480928003,285896.95718180685,133812.8688228245,124448.94811499996,282299.9254034903,504478.8144205488,23892.0898766088,2648104.510855383,89693.0035848,107368.48506697088,10486.487671292003,15543.090034680003,592657.9929572092,7369.123437123999,14714065.984523075,0.2694784256328695,3965123.336167436
2025-02-09,8278.612313751115,11904475.161430951,3821.7666320910103,85374.25713580522,1390808.720747962,117049.80797527843,497093.3430737999,355098.776908974,417588.6673996529,134250.96685324743,80144.32427236237,296687.75897267996,52006.9408858296,311449.86829672166,265354.35566093,29427.136238981264,65104.31211872402,19698.389477919998,3304824.6823803415,11479.979233194594,19350017.8280092,0.2765231330118825,5350727.553636886
2025-02-10,6908.784146744897,4405160.476428468,4194.424891660316,74992.47304866508,1419267.7016976576,171831.7360117308,324346.20687040006,365700.7112208135,115419.16792542953,45993.88832650519,302022.034714982,302317.18801790685,31147.3193431386,95879.75031270405,95263.96432176999,23944.442987190414,86714.18494913701,29643.95559350001,1952370.3672060838,24420.400585729236,9877539.178600218,0.2752621466657644,2718912.638076687
2025-02-11,6145.319916029603,1474268.6833028647,3740.288405473783,69737.64905629885,1271351.697680702,116345.59907777928,642942.0314495997,157238.15055572664,498097.33879712736,43217.117768509735,183642.17443967398,349548.85748006037,27531.084281322,416571.1344242467,85115.51588201999,16150.052417196677,51257.41435520101,55906.196638409994,3411418.339487135,13104.347952797183,8893328.993368175,0.289490550689498,2574534.707753032
2025-02-12,8639.600639493809,5730496.859138581,5970.146211633567,103884.33142417295,1922410.3520331802,176282.9543931768,521487.9504743993,383926.3930406979,37348.73773954559,134665.41924069656,432743.11816383875,228718.49534771917,59670.00097839041,31258.273008121603,74804.39629270002,20255.77572808648,25566.571308388,31580.338191299994,1692990.6740590872,24454.852743103256,11647155.240156313,0.2865274603657683,3337229.811447839
2025-02-13,4795.371974776837,10183227.60034886,630.9740600682848,37707.22287390981,1552103.4332869996,243154.38145868192,348067.49407709995,92011.44857798396,58225.392848438656,36180.138767763,100054.89783753843,117432.417043152,11297.31929397,23616.600441343482,30052.85547511,9224.594954854127,16465.22757516,14990.768722380002,525860.8291355144,8305.339193990974,13413404.307947595,0.3032175830364181,4067180.034546148
2025-02-14,12280.018124149452,5186418.69451697,2240.2713471321667,43208.55011371417,1753908.6031516313,323495.3871169625,301292.1620280001,85753.5450173087,2103240.5728490343,24061.257048482606,113745.2479566423,151407.67869896,14293.603520253198,1359199.069284342,409881.32407755,10628.788824413938,30811.646395972002,41055.811338080006,1197039.630107682,7942.854560425504,13171904.716077708,0.2932159788593412,3862212.9347666977
2025-02-15,24485.617708964535,7122650.631489556,7210.032121262364,35016.55349466517,3907624.4675013344,374142.7296824507,185039.994472,269052.9812637188,73238.4894189151,32156.621580320993,141786.1480347851,112440.518452998,18023.826886322397,3047716.6590050114,38225.88920146,22433.08217490864,25641.770527084,20603.412171829994,1435429.5728133467,12205.197136212388,16905124.195137147,0.2964047953536241,5010759.8774872245
2025-02-16,21496.511694088862,13075616.225756569,6745.720563113649,40097.62126772153,831100.2091266603,431026.9945401964,149536.86370749996,250251.3375332969,191119.970999069,19937.820480604067,239365.666796051,111143.09788883282,21730.8830600876,124530.85617285645,116132.7891619,27476.628579870685,25727.418591006004,20960.28642064,3642018.446518599,8732.427045295688,19354747.77590396,0.2844225816212423,5504927.329050601
2025-02-17,29178.76714824091,1757635.3280292342,9110.947759914001,55136.76863210207,1342087.4373976302,409791.5226589602,616019.8152671997,170864.6740917848,129613.04897933209,81226.86180854478,123286.22987731032,170088.68968838398,25170.7027316976,68923.27524018823,135495.12887344992,34978.35790490227,62979.80919650001,28365.527136239994,676381.2159614465,6658.036232853877,5932992.144615916,0.2750900923416138,1632107.3569244614
2025-02-18,170821.4986532378,7441785.355837576,4350.701098096893,108115.0441640992,1252726.2418375153,524854.4354428111,895003.6343874999,296297.59814384085,901461.9046267845,73476.10190577798,967102.8748002959,863398.7064381641,86060.0039565152,79391.48388708456,204936.26681996,25981.380635860678,397362.4045810798,44330.190050879995,2729996.8472808786,21375.375692418023,17088828.050240375,0.2700561830017721,4614943.675221531
2025-02-19,8505.478553297837,9112610.565937549,1594.3472953544383,26227.67254434205,991034.2855429954,99824.35080056117,262325.6110896001,86068.74639224102,167391.72170250223,10843.139760268623,889963.0812741751,45752.56150309051,19367.995738877606,22088.477928091062,14442.514413960002,6889.2300187908095,17945.699734600003,20714.949728500003,1340247.9855622563,15281.2621652148,13159119.677686268,0.2568923911078131,3380477.7188747004
2025-02-20,41322.967932175925,8982105.26381143,3563.3816398560703,28877.365217395887,1859625.0642063902,333212.08527039614,186297.9279958,354961.9228121466,100560.44222714163,9454.805896281343,410992.2424189004,113574.6416173635,8891.116486647601,17083.43390624787,26811.30327192,19815.578305508054,26565.377714990005,21765.46824504,462742.6638315896,14706.85164239247,13022929.904449616,0.2611315650502395,3400698.067488494
2025-02-21,20451.419157215136,1513355.2621912728,2192.9150542573034,94540.3968458592,2312771.6327665746,794916.4320105163,596452.5146689999,452972.5492490808,115945.38391770366,112693.5541283698,4118754.5381672163,269922.1539904744,41848.845628785006,234918.05237838582,89144.85200827998,270729.47698253026,54109.41186465998,28867.029050639994,351965.7064634893,31941.517018018807,11508493.64354233,0.2711353073156032,3120358.960781516
2025-02-22,6369.309358925681,2823231.7136019785,1237.7878416059427,44927.389816215305,936685.9787577422,306117.0653433142,304964.735094,118814.77214009882,126986.85677828049,39096.68664791102,301506.45475853595,57284.460068946,24110.814434025007,177666.34800305482,9245.019674219999,106518.39327831847,329173.1780952598,31008.007854599993,1144872.3438907538,5800.807994931075,6895618.123432717,0.2635178872060584,1817118.7188667948
