dt,hafn
2025-02-01,75902904.9
2025-02-02,124164185.33999996
2025-02-03,108727031.61000001
2025-02-04,104809048.39
2025-02-05,202398036.25
2025-02-06,129413465.67000002
2025-02-07,6983507.200000001
2025-02-08,99487510.22
2025-02-09,222686494.19000015
2025-02-10,178518510.21999997
2025-02-11,156557412.23000002
2025-02-12,132687115.16000004
2025-02-13,180948637.4
2025-02-14,4706583.219999999
2025-02-15,130253729.57999998
2025-02-16,194467019.42
2025-02-17,215930667.44000006
2025-02-18,130846349.05000001
2025-02-19,196322680.07000002
2025-02-20,147475029.98
2025-02-21,5967084.53
2025-02-22,85135405.81
2025-02-23,229939468.94
2025-02-24,130676675.25999999
2025-02-25,142517220.26000002
2025-02-26,172798155.33
2025-02-27,148129206.6
2025-02-28,7142248.09
