date,ora,monko,niko,ballsack,tiny,mooj,gobtc,vote,xalgo,opul,talgo,coop,bro,galgo,ipt,gold,avoi,goeth,meep,cat
2025-01-01,0.73005,2.3478e-05,0.00038763,,0.11237,0.042909,250120.0,0.13069,1.1259,0.19016,1.004,0.078604,0.0017444,0.9982,0.046785,221.39,0.005689,8898.0,6.9168e-07,0.0013844
2025-01-02,0.69378,2.5612e-05,0.00031946,,0.10908,0.043286,246860.0,0.12983,1.1262,0.19865,1.0026,0.076239,0.0018262,0.99785,0.046801,218.98,0.0054797,8806.4,7.5712e-07,0.0012528
2025-01-03,0.68527,2.4361e-05,0.00033852,7.8305e-07,0.11583,0.043443,235730.0,0.12818,1.1316,0.20196,1.0081,0.073825,0.0019742,0.99805,0.042646,203.89,0.0050921,8663.2,6.3724e-07,0.0011668
2025-01-04,0.68321,2.1154e-05,0.00033786,1.4115e-06,0.12814,0.041491,237730.0,0.12863,1.1278,0.2034,1.0073,0.074853,0.0015564,0.99896,0.034246,205.76,0.0051496,8893.7,5.361e-07,0.0010397
2025-01-05,0.72006,2.4651e-05,0.00036646,1.729e-06,0.14102,0.042287,241970.0,0.12881,1.1207,0.19932,1.004,0.076498,0.0018732,0.99816,0.03286,207.49,0.0052146,8989.8,6.2217e-07,0.0010566
2025-01-06,0.70876,2.1534e-05,0.00036777,2.9285e-06,0.14172,0.040532,246510.0,0.12873,1.1283,0.19836,1.0062,0.075606,0.001859,0.99912,0.032513,203.29,0.005065,8913.3,8.726e-07,0.0012347
2025-01-07,0.70843,2.0763e-05,0.00035016,4.4651e-06,0.14414,0.04112,257600.0,0.13075,1.1251,0.18994,1.0076,0.07807,0.0015938,0.97107,0.032283,225.89,0.0056878,9033.8,7.409e-07,0.0012679
2025-01-08,0.70205,2.0983e-05,0.00031951,2.6396e-06,0.14554,0.042244,264680.0,0.13165,1.122,0.19547,1.0031,0.078614,0.0013241,0.96515,0.032268,241.34,0.0055472,9225.4,6.3426e-07,0.0012805
2025-01-09,0.69527,1.8998e-05,0.00032501,3.3845e-06,0.14466,0.042122,270790.0,0.13258,1.1252,0.19326,1.0031,0.075687,0.0012944,0.96661,0.029214,249.3,0.005729,9373.0,5.6324e-07,0.0011199
2025-01-10,0.68866,2.0157e-05,0.00032649,4.3623e-06,0.14232,0.045672,251920.0,0.13047,1.1271,0.17695,1.0059,0.076238,0.0015205,0.97308,0.031032,230.9,0.0054606,8726.8,5.7833e-07,0.0012776
2025-01-11,0.67816,2.0171e-05,0.00031237,4.3373e-06,0.13935,0.057575,249460.0,0.13018,1.1239,0.17551,1.0056,0.075712,0.0017695,0.96808,0.028426,229.31,0.0054647,8719.1,5.4611e-07,0.0011912
2025-01-12,0.68221,1.9362e-05,0.00033458,3.5894e-06,0.13946,0.060337,262890.0,0.13153,1.1225,0.1811,1.0058,0.075335,0.0015812,0.96913,0.026547,238.33,0.0056551,9091.3,5.2721e-07,0.0011188
2025-01-13,0.68822,1.9811e-05,0.00029282,3.5752e-06,0.13762,0.058922,268680.0,0.13375,1.1288,0.16742,1.0043,0.081108,0.0014761,0.96415,0.024908,243.64,0.005839,8956.4,4.7241e-07,0.0011195
2025-01-14,0.74587,1.9689e-05,0.00028785,3.6489e-06,0.1251,0.059006,260530.0,0.13233,1.1235,0.16744,1.0048,0.075551,0.0013501,0.96742,0.024871,232.3,0.0057497,8723.0,4.0746e-07,0.0011275
2025-01-15,0.68591,1.8805e-05,0.00029181,3.3625e-06,0.12025,0.058673,224520.0,0.12774,1.13,0.1586,1.0063,0.071566,0.0012993,0.97155,0.02267,195.75,0.00481,7755.6,3.6545e-07,0.0011167
2025-01-16,0.68878,1.8095e-05,0.00027689,3.1455e-06,0.11661,0.05543,216330.0,0.1266,1.124,0.16381,1.0064,0.070567,0.001231,0.97009,0.022396,187.68,0.0048342,7187.4,4.0316e-07,0.0010545
2025-01-17,0.68714,1.8868e-05,0.00028445,2.8234e-06,0.11865,0.05288,222570.0,0.12657,1.1308,0.17252,1.0066,0.070742,0.0010143,0.96913,0.021843,185.14,0.004802,7454.5,4.225e-07,0.0010411
2025-01-18,0.67752,2.3026e-05,0.000282,2.3595e-06,0.11916,0.053119,235650.0,0.12779,1.1222,0.15641,1.0039,0.072038,0.0010239,0.97245,0.021956,194.92,0.0050532,7449.7,3.8426e-07,0.001001
2025-01-19,0.63493,1.9936e-05,0.00027945,2.0541e-06,0.11467,0.051945,254620.0,0.13038,1.1277,0.15285,1.0077,0.073722,0.00074057,0.97131,0.021824,219.71,0.0055903,8118.4,3.7105e-07,0.00096785
