date,usdc,usdt,euros,xusd
2024-01-01,4.2201,4.2164,4.6345,4.1689
2024-01-02,4.4268,4.419,4.699,4.3063
2024-01-03,4.9017,4.9208,5.1367,4.7655
2024-01-04,4.8305,4.8421,5.187,4.7224
2024-01-05,5.1289,5.1398,5.5313,5.0332
2024-01-06,5.319,5.3269,5.8512,5.1855
2024-01-07,5.6479,5.6344,6.2025,5.4428
2024-01-08,5.1414,5.1268,5.5312,5.0975
2024-01-09,5.4325,5.4325,5.9355,5.3938
2024-01-10,5.0454,5.0524,5.4712,4.9621
2024-01-11,4.9771,4.9779,5.4562,4.932
2024-01-12,5.3509,5.3605,5.8309,5.3612
2024-01-13,5.2962,5.2929,5.8039,5.2666
2024-01-14,5.4503,5.4369,5.9575,5.401
2024-01-15,5.3576,5.3758,5.8121,5.3459
2024-01-16,5.1154,5.1309,5.6919,5.1243
2024-01-17,5.2798,5.2874,5.706,5.2425
2024-01-18,5.6187,5.6326,6.1044,5.5966
2024-01-19,5.8034,5.8048,6.2553,5.7869
2024-01-20,5.8219,5.8302,6.5039,5.8358
2024-01-21,5.868,5.8563,6.5246,5.8423
2024-01-22,6.239,6.2314,6.754,6.1997
2024-01-23,6.3039,6.3153,7.0233,6.3048
2024-01-24,6.1461,6.1481,6.7498,6.1584
2024-01-25,6.232,6.2161,6.7036,6.235
2024-01-26,6.0361,6.0222,6.6273,5.993
2024-01-27,5.96,5.9459,6.5768,5.9198
2024-01-28,6.1255,6.1167,6.6982,6.0558
2024-01-29,5.958,5.947,6.5749,5.9281
2024-01-30,6.0943,6.084,6.6682,6.0052
2024-01-31,6.3088,6.2922,6.8633,6.2476
2024-02-01,6.2995,6.2873,6.8613,6.2752
2024-02-02,6.2228,6.2056,6.8019,6.2018
2024-02-03,6.0431,6.0364,6.688,6.002
2024-02-04,6.2898,6.2841,6.8523,6.2349
2024-02-05,6.2934,6.2896,6.8708,6.2748
2024-02-06,6.2098,6.2074,6.8206,6.2137
2024-02-07,5.9756,5.9785,6.6988,5.9746
2024-02-08,5.9266,5.9242,6.6582,5.9228
2024-02-09,5.7326,5.7392,6.3868,5.7431
2024-02-10,5.696,5.6944,6.3667,5.684
2024-02-11,5.5942,5.5915,6.2467,5.5963
2024-02-12,5.4743,5.4801,6.1565,5.4746
2024-02-13,5.671,5.6715,6.3406,5.6725
2024-02-14,5.4864,5.4817,6.1259,5.4772
2024-02-15,5.3702,5.371,5.9466,5.3711
2024-02-16,5.1871,5.1907,5.7823,5.1947
2024-02-17,5.2419,5.2462,5.7914,5.252
2024-02-18,5.0987,5.0996,5.6908,5.0932
2024-02-19,4.9345,4.9386,5.6019,4.9236
2024-02-20,5.0845,5.0992,5.7189,5.0901
2024-02-21,5.3201,5.3323,5.9374,5.3206
2024-02-22,5.2825,5.2917,5.9091,5.2587
2024-02-23,5.4214,5.4266,6.2862,5.3977
2024-02-24,5.1068,5.1095,5.5979,5.1107
2024-02-25,4.8504,4.8533,5.3146,4.8508
2024-02-26,4.7559,4.7565,5.2776,4.7477
2024-02-27,4.8021,4.8012,5.3766,4.8096
2024-02-28,4.7602,4.7783,5.264,4.7584
