date,usdc,usdt,euros,xusd
2025-01-01,2.6581,2.6324,2.7485,2.5348
2025-01-02,2.5561,2.5489,2.5672,2.4194
2025-01-03,2.4049,2.3854,2.3955,2.2901
2025-01-04,2.4623,2.4544,2.4078,2.3668
2025-01-05,2.4716,2.4406,2.4638,2.3651
2025-01-06,2.4231,2.366,2.4353,2.3137
2025-01-07,2.6815,2.6268,2.6942,2.5309
2025-01-08,2.7907,2.7559,2.8395,2.6937
2025-01-09,2.9278,2.861,2.9492,2.8236
2025-01-10,2.6821,2.6611,2.7254,2.5914
2025-01-11,2.6549,2.6525,2.7153,2.5644
2025-01-12,2.7961,2.7627,2.8333,2.6546
2025-01-13,2.8708,2.8183,2.9131,2.744
2025-01-14,2.7018,2.6888,2.7512,2.5735
2025-01-15,2.256,2.281,2.2758,2.1095
2025-01-16,2.1729,2.2046,2.2017,2.0542
2025-01-17,2.1414,2.1486,2.1784,2.0448
2025-01-18,2.2542,2.2436,2.2996,2.1506
2025-01-19,2.5324,2.4754,2.5788,2.431
2025-01-20,2.3419,2.3619,2.4254,2.2347
2025-01-21,2.3633,2.8675,2.5458,2.248
2025-01-22,2.4754,2.961,2.628,2.3542
2025-01-23,2.4419,2.7471,2.5153,2.2841
2025-01-24,2.5074,2.9002,2.5223,2.3567
2025-01-25,2.4831,2.915,2.5747,2.3419
2025-01-26,2.6265,2.9068,2.6673,2.4955
2025-01-27,2.6081,3.0064,2.6787,2.4976
2025-01-28,2.7742,3.0945,2.8479,2.59
2025-01-29,2.7077,3.141,2.7885,2.505
2025-01-30,2.5972,3.0653,2.6439,2.43
2025-01-31,2.6474,3.0864,2.7043,2.5128
