dt,ora,monko,niko,ballsack,tiny,mooj,gobtc,vote,xalgo,opul,talgo,coop,bro,galgo,ipt,gold,avoi,goeth,meep,cat
2025-01-01,48001.824072519936,104032236750.15968,60094501.50080602,,2892187.976853001,3138835.168097919,7.581100500000003,553789.6046180001,17268279.536422998,1474565.8482383746,8360611.894524002,3964995.7221190026,383490070.05899185,140559473.53314605,2047648.5961115002,1426.2662639999996,27051443.681506,568.5210320900001,252983634595.32022,252983634595.32022
2025-01-02,115698.33978893129,120579687223.79247,213079907.99604005,,6725847.421823997,1813020.3352439597,6.910319219999997,565616.14737,7054773.448555002,2042975.1109928808,9834686.530967016,2509465.723360001,304888674.0822458,99079398.71135598,1965278.7952903004,5567.353335999999,44017033.451078,122.43253482999994,222948785664.59274,222948785664.59274
2025-01-03,307757.79913477576,75530115218.53241,113108766.563424,4337336180537.834,8246235.418338,2003479.0688247802,4.075424590000002,480710.267329,6123606.541395001,2333280.927069478,15597945.765381996,984289.4955780004,349599617.7726748,17160262.206349,3464369.4538558004,584.8537249999999,12267739.503073,36.16838523,134957483486.5878,134957483486.5878
2025-01-04,97579.16029383056,151176419645.75906,43391622.997488,1565330978020.5579,6045508.580434,3234608.98576439,4.512246019999997,356851.668725,4566676.163205999,1373519.9332210345,5213102.507363,1406880.326997,303616798.335792,11527660.19532,3545772.453078704,5228.851178,7139835.795885,27.86371957999999,259225252231.6489,259225252231.6489
2025-01-05,132325.41743500033,79411852022.92339,79293504.07053402,755226156294.571,6527656.023581002,1421752.41719644,1.6739452500000005,349642.5046059999,7683508.210431001,964787.0873549316,19677494.076019995,603445.0499410001,137561068.24343204,6335143.247904998,2470095.3365408,619.159099,12816950.022193009,44.64008561999998,137241674349.2224,137241674349.2224
2025-01-06,107140.16971606002,104166821339.43431,46597227.283552006,944259727669.8954,2644102.553926001,2722526.2248917003,4.295381499999985,523055.0429939999,12522177.560395993,1960950.65638371,5064546.728240998,657340.7182779998,423003029.4866108,43948005.187822,2063751.2702323003,1072.8239020000008,3261639.5302809994,41.49001789999996,256729223665.66257,256729223665.66257
2025-01-07,72434.82520461986,82876666925.90033,114387470.205639,682393105628.9993,4150739.590241,2135872.2366616796,3.0888992799999997,994505.651893,2835667.075103,1359471.2899602773,23970270.482580934,1142340.2584310002,248504002.65850097,104176285.75570281,1929804.1397816003,650.1144590000002,4545368.956082999,19.980786349999992,213105974104.59137,213105974104.59137
2025-01-08,85084.09926876066,123747293769.16571,85055022.02355202,571624888353.0696,1572803.1481720002,2212975.3790069497,2.1687838700000004,812460.7239509999,4296807.572868999,3267449.4020849406,2949015.6080600005,5312871.371274,206363591.53579304,18638216.197885,1317909.0877385002,717.177135,7114231.346367,23.71226194000001,221969564410.2283,221969564410.2283
2025-01-09,87724.7445487605,133760523221.76427,47391586.98350701,442704742182.35297,2813632.3062179997,1519409.19347184,2.4268941600000002,674037.3477260001,2786348.848181999,1683265.754019336,3749703.5277299997,2395402.132564,113217243.03532608,104667645.92106403,1485674.3221328002,4763.3866210000015,1820907.707475,19.869370919999994,147966274432.73093,147966274432.73093
2025-01-10,28785.32945081,60541356969.453415,13686958.405207,353963267518.2916,1212940.4415189996,1816741.0158143998,2.924906459999998,740195.182257,3531333.462469999,1965262.930372004,3818216.7703400007,4493235.017947998,94978262.00381699,98027952.040798,1320551.7598282997,1348.6552010000012,7256738.059656003,55.53317154999998,127043394549.50124,127043394549.50124
2025-01-11,22792.17553401999,45488752825.902405,38601558.561817,171663846551.73215,1046553.1759669998,2007486.3187023099,1.4526672399999998,368255.52222700004,3149856.339943999,493872.3335655762,4269976.231292999,408986.18382500013,133739080.34017901,48483727.90663299,1525957.2569346006,788.0340260000004,1104594.7823919998,14.904953619999983,90420321230.24997,90420321230.24997
2025-01-12,43425.03155974015,42045544402.088356,59778157.51174098,227574518458.5915,1438972.915708,758181.3852528598,0.6475671500000001,781436.064258,2943321.056710999,454552.7006477786,2474491.5040099993,503137.6147009998,75685653.878833,15513162.925172,2554996.4311184,151.12857800000003,12879418.108780997,9.42950141,73211875497.00711,73211875497.00711
