dt,hafn
2025-01-01,55998078.449999996
2025-01-02,130050145.68999991
2025-01-03,3802220.6600000006
2025-01-04,70332259.88000001
2025-01-05,119898627.02000004
2025-01-06,68934691.95
2025-01-07,112038018.40000004
2025-01-08,79746166.72
2025-01-09,71604943.28999999
2025-01-10,2597504.69
2025-01-11,66652564.370000005
2025-01-12,89817399.54999998
2025-01-13,161871234.67999995
2025-01-14,112052860.1
2025-01-15,77847787.11
2025-01-16,90317837.52
2025-01-17,13052857.500000002
2025-01-18,58158629.35
2025-01-19,102157255.97
2025-01-20,169071301.34999996
2025-01-21,91099015.48
2025-01-22,59704506.890000015
2025-01-23,42862856.93000001
2025-01-24,2294811.2199999997
2025-01-25,40982763.26
2025-01-26,216998295.54999998
2025-01-27,101054608.39999998
2025-01-28,93888338.34999982
2025-01-29,86816513.50000009
2025-01-30,97081027.88
2025-01-31,6263233.890000001
