dt,usdc
2024-01-01,4980280.900475001
2024-01-02,23335342.75843499
2024-01-03,46678439.164215036
2024-01-04,18964863.829874016
2024-01-05,31086637.098265883
2024-01-06,5661586.7844639905
2024-01-07,4577358.742269993
2024-01-08,26912254.003386956
2024-01-09,18163833.825423982
2024-01-10,50036084.77790899
2024-01-11,29817001.84563207
2024-01-12,39966186.093932
2024-01-13,5051535.267264998
2024-01-14,6507254.734134007
2024-01-15,12930688.749276005
2024-01-16,25518392.293077994
2024-01-17,15699503.910303019
2024-01-18,34037578.230986
2024-01-19,43108675.028965004
2024-01-20,2145568.6555930004
2024-01-21,4063282.0812000046
2024-01-22,45744270.5685339
2024-01-23,77685813.847793
2024-01-24,56195862.639358036
2024-01-25,19644389.03630801
2024-01-26,12484109.664039006
2024-01-27,1795138.7772459995
2024-01-28,1609729.043654999
2024-01-29,23537359.579161014
2024-01-30,28515313.512367968
2024-01-31,48065433.65717716
2024-02-01,36595055.455845
2024-02-02,25795218.837803975
2024-02-03,1433191.6110960022
2024-02-04,1001805.7133739992
2024-02-05,11655572.212292997
2024-02-06,49839851.74522497
2024-02-07,21294907.002291977
2024-02-08,35492975.52095598
2024-02-09,43744573.96114798
2024-02-10,4407606.486483001
2024-02-11,2186189.633158
2024-02-12,26766561.17084101
2024-02-13,80885202.68183097
2024-02-14,61126383.35894709
2024-02-15,26728686.024885003
2024-02-16,18218092.00245503
2024-02-17,6397674.107594001
2024-02-18,8195966.544171001
2024-02-19,18319050.407303996
2024-02-20,43671347.90173699
2024-02-21,43545725.49433997
2024-02-22,34722787.38208598
2024-02-23,74723571.16905202
2024-02-24,12026349.037418993
2024-02-25,23251352.384473007
2024-02-26,51260822.384890005
2024-02-27,50963975.50746799
2024-02-28,32401774.797429983
2024-02-29,97063822.30891904
2024-03-01,55942149.656875014
2024-03-02,10673738.958136003
2024-03-03,18580587.06161598
2024-03-04,65837436.10539699
2024-03-05,77414033.1737399
2024-03-06,66978182.377430044
2024-03-07,84452863.87172122
2024-03-08,37042858.178958975
2024-03-09,8788910.067484006
2024-03-10,7181713.99695099
2024-03-11,70892588.10784388
2024-03-12,61711514.12020906
2024-03-13,33833342.328380145
2024-03-14,60510163.76700594
2024-03-15,49093408.279393874
2024-03-16,29455991.513028935
2024-03-17,25757205.001196973
2024-03-18,59638982.99238896
2024-03-19,71608081.41224603
2024-03-20,57485533.9184951
2024-03-21,37549024.88983401
2024-03-22,80825730.12572199
2024-03-23,3911828.6084579993
2024-03-24,3916370.1719539976
2024-03-25,49470195.58416704
2024-03-26,60836417.50896797
2024-03-27,50945573.70806696
2024-03-28,8852687.572670992
2024-03-29,10311155.330467006
2024-03-30,3465175.511282999
2024-03-31,4393060.839689997
2024-04-01,22601718.248410027
2024-04-02,55164790.917945966
2024-04-03,38271125.86879799
2024-04-04,41504500.17975901
2024-04-05,35002966.80761
2024-04-06,7186843.635607997
2024-04-07,11198883.255138002
2024-04-08,29527282.634491235
2024-04-09,20325257.61941205
2024-04-10,31103726.628620006
