dt,algo_vol
2025-07-01,338010335.47857714
2025-07-02,275348546.9745719
2025-07-03,71362430.98255222
2025-07-04,67740301.85188417
2025-07-05,27512297.193889048
2025-07-06,53774558.078073174
2025-07-07,150917380.03442544
2025-07-08,147932432.1854956
2025-07-09,78615199.30683234
2025-07-10,124330573.89125508
2025-07-11,160994300.7933062
2025-07-12,72833742.19364862
2025-07-13,235167860.34054744
2025-07-14,419243620.5949623
2025-07-15,170177340.60155153
2025-07-16,224974364.33222693
2025-07-17,254460569.44609886
2025-07-18,265464182.07170683
2025-07-19,67310758.04709984
2025-07-20,79711977.20316543
2025-07-21,147012393.2702247
2025-07-22,118071762.50570862
2025-07-23,100033647.72597434
2025-07-24,122288983.34287609
2025-07-25,129788211.65199281
2025-07-26,63315026.41580505
2025-07-27,82075931.56681737
2025-07-28,99421306.94096945
2025-07-29,99136006.98863646
2025-07-30,224621204.77167517
2025-07-31,79486054.96005866
