dt,algo_vol
2025-06-01,54366532.971074216
2025-06-02,318717662.63964826
2025-06-03,84491716.37420864
2025-06-04,142897796.07449588
2025-06-05,167155617.87826508
2025-06-06,118717136.18465187
2025-06-07,86817807.19111362
2025-06-08,65734973.75641657
2025-06-09,120381904.90647037
2025-06-10,95617298.88218659
2025-06-11,84165051.20347847
2025-06-12,208911864.78542987
2025-06-13,279988873.89600205
2025-06-14,214945023.61076108
2025-06-15,51632142.53890573
2025-06-16,61266758.338741645
2025-06-17,141679094.68293682
2025-06-18,102097028.56506512
2025-06-19,63539600.57136074
2025-06-20,101048572.61925724
2025-06-21,114757802.20076099
2025-06-22,237141683.0981391
2025-06-23,107153679.35161473
2025-06-24,141591517.79766116
2025-06-25,72984791.534516
2025-06-26,264053517.47146827
2025-06-27,146988190.0810506
2025-06-28,48539467.88814004
2025-06-29,45499562.10243195
2025-06-30,1316083284.5161147
