dt,hafn
2025-06-01,263086553.3199999
2025-06-02,308954324.8399999
2025-06-03,258767968.21
2025-06-04,369314409.16999996
2025-06-05,395589584.88
2025-06-06,40109981.46
2025-06-07,4631662.879999999
2025-06-08,5180718.649999999
2025-06-09,5149196.0200000005
2025-06-10,9563344.36
2025-06-11,66092663.26
2025-06-12,67475889.43
2025-06-13,6848141.59
2025-06-14,193472536.12
2025-06-15,243164489.07
2025-06-16,184946572.74
2025-06-17,191355730.64
2025-06-18,155673876.98999998
2025-06-19,179003303.67
2025-06-20,3253311.0899999994
2025-06-21,104468845.7
2025-06-22,201739593.61
2025-06-23,163079654.18
2025-06-24,204278372.06999996
2025-06-25,110631785.89999999
2025-06-26,174035412.42000002
2025-06-27,8572185.63
2025-06-28,134270275.69
2025-06-29,233176765.42
2025-06-30,177696410.97
