dt,hafn
2025-05-01,155894825.18000016
2025-05-02,6608998.42
2025-05-03,104153373.32
2025-05-04,159606651.33999997
2025-05-05,225602288.19000018
2025-05-06,125221701.83999999
2025-05-07,160109102.83999997
2025-05-08,219664948.9
2025-05-09,40114066.67
2025-05-10,119563820.59
2025-05-11,183234529.70999995
2025-05-12,215575775.08
2025-05-13,130063141.66000003
2025-05-14,198296394.97000003
2025-05-15,167854500.69999996
2025-05-16,11505533.41
2025-05-17,107697350.32000001
2025-05-18,167277579.61
2025-05-19,116626348.33999997
2025-05-20,116241028.33
2025-05-21,158914679.52
2025-05-22,107065958.67
2025-05-23,17116968.539999995
2025-05-24,71948435.77
2025-05-25,114834468.25000001
2025-05-26,89856605.25999999
2025-05-27,119344888.79999998
2025-05-28,127434312.15999997
2025-05-29,171639168.28
2025-05-30,8735980.38
2025-05-31,93010660.86
