date,hafn
2025-10-01,19606449.439999998
2025-10-02,401822726.66000044
2025-10-03,94170069.88999999
2025-10-04,565767298.2900001
2025-10-05,342390747.1100003
2025-10-06,233192922.38
2025-10-07,476710096.97
2025-10-08,275072470.83
2025-10-09,743174215.92
2025-10-10,46537730.65
2025-10-11,240594567.31
2025-10-12,253819612.69
2025-10-13,367808784.36
2025-10-14,265470295.89999998
2025-10-15,337629276.65999997
2025-10-16,191389667.6599999
2025-10-17,39318765.82
2025-10-18,168273646.15999997
2025-10-19,299634301.69000006
2025-10-20,598373145.4400002
2025-10-21,246212467.57999998
2025-10-22,213686946.47000003
2025-10-23,251192827.19000006
2025-10-24,88394658.06
2025-10-25,182964125.7
2025-10-26,291879655.17
2025-10-27,244225593.96999997
2025-10-28,242797093.28999996
2025-10-29,255675674.92999998
2025-10-30,351998066.76
2025-10-31,55635278.92
