dt,algo_vol
2025-09-01,88078485.68870598
2025-09-02,89514455.02168277
2025-09-03,123072443.71607612
2025-09-04,107487106.59080106
2025-09-05,95677911.52849565
2025-09-06,31127237.26890012
2025-09-07,125623190.97272676
2025-09-08,60372192.49417092
2025-09-09,166854074.16521347
2025-09-10,82612041.02568084
2025-09-11,71745394.87047747
2025-09-12,120502525.47413068
2025-09-13,82115645.00996709
2025-09-14,85983630.57185316
2025-09-15,80612756.38047014
2025-09-16,200298748.31961143
2025-09-17,73115521.7399169
2025-09-18,482332505.08371955
2025-09-19,82943885.56141818
2025-09-20,47051946.04939485
2025-09-21,46065481.67856196
2025-09-22,156296245.64664766
2025-09-23,91462483.09757139
2025-09-24,103939298.378493
2025-09-25,100749109.89282313
2025-09-26,161394387.14179426
2025-09-27,35510820.98501365
2025-09-28,81470475.33348618
2025-09-29,83192620.68754646
2025-09-30,110166100.04525262
