dt,hafn
2025-09-01,360329350.16999996
2025-09-02,452848269.50999963
2025-09-03,275432962.67
2025-09-04,589821055.01
2025-09-05,70886090.44
2025-09-06,268429933.59
2025-09-07,479192526.7200003
2025-09-08,454734004.7100001
2025-09-09,167139737.23
2025-09-10,223860262.37
2025-09-11,101654278.64
2025-09-12,15957706.889999997
2025-09-13,212463869.72
2025-09-14,177729795.79999998
2025-09-15,200227031.26
2025-09-16,575011919.6499997
2025-09-17,304697759.97
2025-09-18,139286457.92
2025-09-19,43062154.61000001
2025-09-20,217026388.29000002
2025-09-21,299182366.5900001
2025-09-22,582434773.8199999
2025-09-23,248540244.58999997
2025-09-24,271611135.9
2025-09-25,224580455.84000003
2025-09-26,84549326.32000001
2025-09-27,264951609.34000003
2025-09-28,347249795.8100002
2025-09-29,166287195.61
2025-09-30,2341.0
